season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2026,55,7,Round 7,Round 7,0,2026-04-23,Docklands Stadium,Western Bulldogs,Sydney,9,6,60,18,18,126
2026,56,7,Round 7,Round 7,0,2026-04-24,MCG,Richmond,Melbourne,11,6,72,19,12,126
2026,57,7,Round 7,Round 7,0,2026-04-25,York Park,Hawthorn,Gold Coast,16,16,112,9,9,63
2026,58,7,Round 7,Round 7,0,2026-04-25,MCG,Essendon,Collingwood,9,6,60,20,17,137
2026,59,7,Round 7,Round 7,0,2026-04-25,Adelaide Oval,Port Adelaide,Geelong,13,17,95,10,5,65
2026,60,7,Round 7,Round 7,0,2026-04-25,Perth Stadium,Fremantle,Carlton,16,7,103,13,11,89
2026,61,7,Round 7,Round 7,0,2026-04-26,Docklands Stadium,St Kilda,West Coast,22,11,143,5,12,42
2026,62,7,Round 7,Round 7,0,2026-04-26,Gabba,Brisbane,Adelaide,19,13,127,11,9,75
2026,63,7,Round 7,Round 7,0,2026-04-26,Manuka Oval,GWS,North Melbourne,15,15,105,14,14,98
2026,64,8,Round 8,Round 8,0,2026-04-30,MCG,Collingwood,Hawthorn,15,3,93,13,15,93
2026,65,8,Round 8,Round 8,0,2026-05-01,Docklands Stadium,Western Bulldogs,Fremantle,15,12,102,17,12,114
2026,66,8,Round 8,Round 8,0,2026-05-01,Adelaide Oval,Adelaide,Port Adelaide,11,10,76,11,9,75
2026,67,8,Round 8,Round 8,0,2026-05-02,Docklands Stadium,Essendon,Brisbane,11,13,79,22,11,143
2026,68,8,Round 8,Round 8,0,2026-05-02,Perth Stadium,West Coast,Richmond,13,10,88,15,9,99
2026,69,8,Round 8,Round 8,0,2026-05-02,Kardinia Park,Geelong,North Melbourne,21,9,135,13,8,86
2026,70,8,Round 8,Round 8,0,2026-05-02,Docklands Stadium,Carlton,St Kilda,9,15,69,16,12,108
2026,71,8,Round 8,Round 8,0,2026-05-03,SCG,Sydney,Melbourne,19,17,131,17,12,114
2026,72,8,Round 8,Round 8,0,2026-05-03,Carrara Stadium,Gold Coast,GWS,11,17,83,8,15,63
2026,73,9,Round 9,Round 9,0,2026-05-07,Perth Stadium,Fremantle,Hawthorn,12,16,88,11,7,73
2026,74,9,Round 9,Round 9,0,2026-05-08,Gabba,Brisbane,Carlton,14,16,100,13,11,89
2026,75,9,Round 9,Round 9,0,2026-05-08,Adelaide Oval,Port Adelaide,Western Bulldogs,10,12,72,10,14,74
2026,76,9,Round 9,Round 9,0,2026-05-09,Docklands Stadium,North Melbourne,Sydney,14,13,97,16,9,105
2026,77,9,Round 9,Round 9,0,2026-05-09,Sydney Showground Stadium,GWS,Essendon,16,7,103,13,11,89
2026,78,9,Round 9,Round 9,0,2026-05-09,Marrara Oval,Gold Coast,St Kilda,13,11,89,8,12,60
2026,79,9,Round 9,Round 9,0,2026-05-09,MCG,Geelong,Collingwood,18,14,122,9,14,68
2026,80,9,Round 9,Round 9,0,2026-05-10,Docklands Stadium,Melbourne,West Coast,15,9,99,9,13,67
2026,81,9,Round 9,Round 9,0,2026-05-10,MCG,Richmond,Adelaide,9,7,61,14,14,98
2026,82,10,Round 10,Round 10,0,2026-05-14,Gabba,Brisbane,Geelong,11,10,76,17,15,117
2026,83,10,Round 10,Round 10,0,2026-05-15,SCG,Sydney,Collingwood,11,15,81,10,15,75
2026,84,10,Round 10,Round 10,0,2026-05-15,Marrara Oval,Gold Coast,Port Adelaide,15,8,98,10,13,73
2026,85,10,Round 10,Round 10,0,2026-05-16,Adelaide Oval,Adelaide,North Melbourne,20,13,133,9,11,65
2026,86,10,Round 10,Round 10,0,2026-05-16,MCG,Melbourne,Hawthorn,18,12,120,12,9,81
2026,87,10,Round 10,Round 10,0,2026-05-16,Docklands Stadium,Carlton,Western Bulldogs,10,14,74,9,8,62
2026,88,10,Round 10,Round 10,0,2026-05-17,MCG,Essendon,Fremantle,8,13,61,16,8,104
2026,89,10,Round 10,Round 10,0,2026-05-17,Docklands Stadium,St Kilda,Richmond,16,13,109,11,7,73
2026,90,10,Round 10,Round 10,0,2026-05-17,Perth Stadium,West Coast,GWS,13,10,88,10,11,71
2026,91,11,Round 11,Round 11,0,2026-05-21,York Park,Hawthorn,Adelaide,10,15,75,9,12,66
2026,92,11,Round 11,Round 11,0,2026-05-22,MCG,Richmond,Essendon,10,14,74,7,14,56
2026,93,11,Round 11,Round 11,0,2026-05-22,Perth Stadium,Fremantle,St Kilda,16,8,104,11,8,74
2026,94,11,Round 11,Round 11,0,2026-05-23,Docklands Stadium,North Melbourne,Gold Coast,17,9,111,16,9,105
2026,95,11,Round 11,Round 11,0,2026-05-23,Kardinia Park,Geelong,Sydney,15,17,107,12,8,80
2026,96,11,Round 11,Round 11,0,2026-05-23,MCG,Collingwood,West Coast,13,14,92,12,10,82
2026,97,11,Round 11,Round 11,0,2026-05-23,Adelaide Oval,Port Adelaide,Carlton,8,10,58,13,14,92
2026,98,11,Round 11,Round 11,0,2026-05-24,Sydney Showground Stadium,GWS,Brisbane,26,10,166,13,10,88
2026,99,11,Round 11,Round 11,0,2026-05-24,Docklands Stadium,Western Bulldogs,Melbourne,14,9,93,13,12,90
2026,100,12,Round 12,Round 12,0,2026-05-28,Docklands Stadium,St Kilda,Hawthorn,9,13,67,18,11,119
2026,101,12,Round 12,Round 12,0,2026-05-29,MCG,Carlton,Geelong,12,16,88,12,12,84
2026,102,12,Round 12,Round 12,0,2026-05-30,SCG,Sydney,Richmond,25,20,170,8,8,56
2026,103,12,Round 12,Round 12,0,2026-05-30,Gabba,Brisbane,Fremantle,10,18,78,15,13,103
2026,104,12,Round 12,Round 12,0,2026-05-30,Docklands Stadium,Western Bulldogs,Collingwood,14,13,97,13,15,93
2026,105,12,Round 12,Round 12,0,2026-05-31,Traeger Park,Melbourne,GWS,9,16,70,19,5,119
2026,106,12,Round 12,Round 12,0,2026-05-31,Perth Stadium,West Coast,Essendon,12,13,85,8,7,55
2026,107,13,Round 13,Round 13,0,2026-06-04,Adelaide Oval,Adelaide,Geelong,11,9,75,10,14,74
2026,108,13,Round 13,Round 13,0,2026-06-05,MCG,Hawthorn,Western Bulldogs,9,17,71,12,5,77
2026,109,13,Round 13,Round 13,0,2026-06-06,Hands Oval,North Melbourne,Fremantle,4,7,31,24,11,155
