season,match_id,round,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2023,1,Round 1,2023-03-16,MCG,Richmond,Carlton,8,10,58,8,10,58
2023,2,Round 1,2023-03-17,MCG,Geelong,Collingwood,16,7,103,19,11,125
2023,3,Round 1,2023-03-18,Docklands Stadium,North Melbourne,West Coast,12,15,87,12,10,82
2023,4,Round 1,2023-03-18,Adelaide Oval,Port Adelaide,Brisbane,18,18,126,11,6,72
2023,5,Round 1,2023-03-18,Carrara Stadium,Gold Coast,Sydney,9,7,61,16,14,110
2023,6,Round 1,2023-03-18,MCG,Melbourne,Western Bulldogs,17,13,115,9,11,65
2023,7,Round 1,2023-03-19,Sydney Showground Stadium,GWS,Adelaide,15,16,106,12,18,90
2023,8,Round 1,2023-03-19,MCG,Hawthorn,Essendon,9,11,65,19,10,124
2023,9,Round 1,2023-03-19,Docklands Stadium,St Kilda,Fremantle,10,7,67,7,10,52
2023,10,Round 2,2023-03-23,MCG,Carlton,Geelong,13,12,90,12,10,82
2023,11,Round 2,2023-03-24,Gabba,Brisbane,Melbourne,14,9,93,13,4,82
2023,12,Round 2,2023-03-25,MCG,Collingwood,Port Adelaide,21,9,135,9,10,64
2023,13,Round 2,2023-03-25,Adelaide Oval,Adelaide,Richmond,10,16,76,17,6,108
2023,14,Round 2,2023-03-25,Perth Stadium,Fremantle,North Melbourne,10,12,72,11,7,73
2023,15,Round 2,2023-03-25,Docklands Stadium,Western Bulldogs,St Kilda,5,11,41,14,8,92
2023,16,Round 2,2023-03-26,SCG,Sydney,Hawthorn,17,16,118,4,13,37
2023,17,Round 2,2023-03-26,Perth Stadium,West Coast,GWS,14,16,100,11,15,81
2023,18,Round 2,2023-03-26,Docklands Stadium,Essendon,Gold Coast,16,12,108,11,14,80
2023,19,Round 3,2023-03-30,Docklands Stadium,Western Bulldogs,Brisbane,10,7,67,7,11,53
2023,20,Round 3,2023-03-31,MCG,Collingwood,Richmond,8,15,63,7,7,49
2023,21,Round 3,2023-04-01,York Park,Hawthorn,North Melbourne,11,14,80,9,7,61
2023,22,Round 3,2023-04-01,Sydney Showground Stadium,GWS,Carlton,9,10,64,9,20,74
2023,23,Round 3,2023-04-01,Adelaide Oval,Port Adelaide,Adelaide,13,8,86,18,9,117
2023,24,Round 3,2023-04-01,MCG,St Kilda,Essendon,14,8,92,11,8,74
2023,25,Round 3,2023-04-02,Carrara Stadium,Gold Coast,Geelong,10,13,73,7,12,54
2023,26,Round 3,2023-04-02,Perth Stadium,Fremantle,West Coast,16,12,108,9,13,67
2023,27,Round 3,2023-04-02,MCG,Melbourne,Sydney,21,8,134,12,12,84
2023,28,Round 4,2023-04-06,Gabba,Brisbane,Collingwood,18,8,116,11,17,83
2023,29,Round 4,2023-04-07,Docklands Stadium,North Melbourne,Carlton,11,18,84,16,11,107
2023,30,Round 4,2023-04-08,Adelaide Oval,Adelaide,Fremantle,17,9,111,10,12,72
