season,match_id,round_number,round,round_name,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2024,57,7,Round 7,Round 7,2024-04-25,Manuka Oval,GWS,Brisbane,8,4,52,6,8,44
2024,58,7,Round 7,Round 7,2024-04-26,Adelaide Oval,Port Adelaide,St Kilda,NA,NA,NA,NA,NA,NA
2024,59,7,Round 7,Round 7,2024-04-27,Bellerive Oval,North Melbourne,Adelaide,NA,NA,NA,NA,NA,NA
2024,60,7,Round 7,Round 7,2024-04-27,MCG,Geelong,Carlton,NA,NA,NA,NA,NA,NA
2024,61,7,Round 7,Round 7,2024-04-27,Perth Stadium,Fremantle,Western Bulldogs,NA,NA,NA,NA,NA,NA
2024,62,7,Round 7,Round 7,2024-04-28,Carrara Stadium,Gold Coast,West Coast,NA,NA,NA,NA,NA,NA
2024,63,7,Round 7,Round 7,2024-04-28,MCG,Hawthorn,Sydney,NA,NA,NA,NA,NA,NA
2024,64,8,Round 8,Round 8,2024-05-02,Adelaide Oval,Adelaide,Port Adelaide,NA,NA,NA,NA,NA,NA
2024,65,8,Round 8,Round 8,2024-05-03,MCG,Carlton,Collingwood,NA,NA,NA,NA,NA,NA
2024,66,8,Round 8,Round 8,2024-05-04,SCG,Sydney,GWS,NA,NA,NA,NA,NA,NA
2024,67,8,Round 8,Round 8,2024-05-04,Docklands Stadium,St Kilda,North Melbourne,NA,NA,NA,NA,NA,NA
2024,68,8,Round 8,Round 8,2024-05-04,MCG,Melbourne,Geelong,NA,NA,NA,NA,NA,NA
2024,69,8,Round 8,Round 8,2024-05-04,Perth Stadium,West Coast,Essendon,NA,NA,NA,NA,NA,NA
2024,70,8,Round 8,Round 8,2024-05-05,MCG,Richmond,Fremantle,NA,NA,NA,NA,NA,NA
2024,71,8,Round 8,Round 8,2024-05-05,Docklands Stadium,Western Bulldogs,Hawthorn,NA,NA,NA,NA,NA,NA
2024,72,8,Round 8,Round 8,2024-05-05,Gabba,Brisbane,Gold Coast,NA,NA,NA,NA,NA,NA
2024,73,9,Round 9,Round 9,2024-05-09,MCG,Carlton,Melbourne,NA,NA,NA,NA,NA,NA
2024,74,9,Round 9,Round 9,2024-05-10,Kardinia Park,Geelong,Port Adelaide,NA,NA,NA,NA,NA,NA
2024,75,9,Round 9,Round 9,2024-05-10,Perth Stadium,Fremantle,Sydney,NA,NA,NA,NA,NA,NA
2024,76,9,Round 9,Round 9,2024-05-11,York Park,Hawthorn,St Kilda,NA,NA,NA,NA,NA,NA
2024,77,9,Round 9,Round 9,2024-05-11,Docklands Stadium,Essendon,GWS,NA,NA,NA,NA,NA,NA
2024,78,9,Round 9,Round 9,2024-05-11,Marrara Oval,Gold Coast,North Melbourne,NA,NA,NA,NA,NA,NA
2024,79,9,Round 9,Round 9,2024-05-11,MCG,Richmond,Western Bulldogs,NA,NA,NA,NA,NA,NA
2024,80,9,Round 9,Round 9,2024-05-12,Docklands Stadium,Collingwood,West Coast,NA,NA,NA,NA,NA,NA
2024,81,9,Round 9,Round 9,2024-05-12,Adelaide Oval,Adelaide,Brisbane,NA,NA,NA,NA,NA,NA
2024,82,10,Round 10,Round 10,2024-05-16,Marrara Oval,Gold Coast,Geelong,NA,NA,NA,NA,NA,NA
2024,83,10,Round 10,Round 10,2024-05-17,SCG,Sydney,Carlton,NA,NA,NA,NA,NA,NA
2024,84,10,Round 10,Round 10,2024-05-18,MCG,Collingwood,Adelaide,NA,NA,NA,NA,NA,NA
