season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2014,4422,2,Round 2,Round 2,0,2014-03-29,Stadium Australia,Sydney,Collingwood,10,9,69,12,17,89
2014,4423,2,Round 2,Round 2,0,2014-03-30,Gabba,Brisbane,Geelong,10,8,68,13,15,93
2014,4424,2,Round 2,Round 2,0,2014-03-30,MCG,Melbourne,West Coast,4,6,30,18,15,123
2014,4425,2,Round 2,Round 2,0,2014-03-30,Docklands Stadium,Western Bulldogs,North Melbourne,8,6,54,12,11,83
2014,4426,3,Round 3,Round 3,0,2014-04-04,MCG,Hawthorn,Fremantle,21,11,137,11,13,79
2014,4427,3,Round 3,Round 3,0,2014-04-05,Docklands Stadium,Western Bulldogs,Richmond,15,10,100,15,8,98
2014,4428,3,Round 3,Round 3,0,2014-04-05,Adelaide Oval,Adelaide,Sydney,9,17,71,21,8,134
2014,4429,3,Round 3,Round 3,0,2014-04-05,Carrara Stadium,Gold Coast,Brisbane,17,12,114,9,7,61
2014,4430,3,Round 3,Round 3,0,2014-04-05,MCG,Collingwood,Geelong,11,10,76,12,15,87
2014,4431,3,Round 3,Round 3,0,2014-04-05,Subiaco Oval,West Coast,St Kilda,12,11,83,8,10,58
2014,4432,3,Round 3,Round 3,0,2014-04-06,Sydney Showground Stadium,GWS,Melbourne,10,19,79,7,5,47
2014,4433,3,Round 3,Round 3,0,2014-04-06,Docklands Stadium,North Melbourne,Port Adelaide,14,13,97,13,12,90
2014,4434,3,Round 3,Round 3,0,2014-04-06,MCG,Essendon,Carlton,21,12,138,8,9,57
2014,4435,4,Round 4,Round 4,0,2014-04-11,MCG,Richmond,Collingwood,10,12,72,16,14,110
2014,4436,4,Round 4,Round 4,0,2014-04-12,MCG,Carlton,Melbourne,7,16,58,12,9,81
2014,4437,4,Round 4,Round 4,0,2014-04-12,Adelaide Oval,Port Adelaide,Brisbane,24,15,159,7,4,46
2014,4438,4,Round 4,Round 4,0,2014-04-12,Manuka Oval,GWS,Western Bulldogs,12,11,83,17,8,110
2014,4439,4,Round 4,Round 4,0,2014-04-12,Kardinia Park,Geelong,West Coast,16,11,107,4,8,32
