season,match_id,round,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2022,1,Round 1,2022-03-16,MCG,Melbourne,Western Bulldogs,14,13,97,11,5,71
2022,2,Round 1,2022-03-17,MCG,Carlton,Richmond,14,17,101,11,10,76
2022,3,Round 1,2022-03-18,Docklands Stadium,St Kilda,Collingwood,12,13,85,15,12,102
2022,4,Round 1,2022-03-19,MCG,Geelong,Essendon,20,18,138,11,6,72
2022,5,Round 1,2022-03-19,Stadium Australia,Greater Western Sydney,Sydney,13,14,92,17,10,112
2022,6,Round 1,2022-03-19,Gabba,Brisbane Lions,Port Adelaide,11,14,80,10,9,69
2022,7,Round 1,2022-03-20,MCG,Hawthorn,North Melbourne,11,12,78,8,10,58
2022,8,Round 1,2022-03-20,Adelaide Oval,Adelaide,Fremantle,12,10,82,11,17,83
2022,9,Round 1,2022-03-20,Perth Stadium,West Coast,Gold Coast,12,8,80,16,11,107
2022,10,Round 2,2022-03-24,Docklands Stadium,Western Bulldogs,Carlton,13,12,90,16,6,102
2022,11,Round 2,2022-03-25,SCG,Sydney,Geelong,17,5,107,10,17,77
2022,12,Round 2,2022-03-26,MCG,Collingwood,Adelaide,15,10,100,8,10,58
2022,13,Round 2,2022-03-26,Docklands Stadium,Essendon,Brisbane Lions,10,15,75,15,7,97
2022,14,Round 2,2022-03-26,Carrara Stadium,Gold Coast,Melbourne,10,9,69,12,10,82
2022,15,Round 2,2022-03-26,Adelaide Oval,Port Adelaide,Hawthorn,7,14,56,19,6,120
2022,16,Round 2,2022-03-27,Docklands Stadium,North Melbourne,West Coast,10,14,74,8,11,59
2022,17,Round 2,2022-03-27,Perth Stadium,Fremantle,St Kilda,8,7,55,9,11,65
2022,18,Round 2,2022-03-27,MCG,Richmond,Greater Western Sydney,16,13,109,10,13,73
2022,19,Round 3,2022-03-31,Docklands Stadium,Western Bulldogs,Sydney,9,17,71,9,6,60
2022,20,Round 3,2022-04-01,MCG,Melbourne,Essendon,14,15,99,10,10,70
2022,21,Round 3,2022-04-01,Adelaide Oval,Adelaide,Port Adelaide,15,6,96,13,14,92
2022,22,Round 3,2022-04-02,Sydney Showground Stadium,Greater Western Sydney,Gold Coast,12,11,83,8,9,57
2022,23,Round 3,2022-04-02,Gabba,Brisbane Lions,North Melbourne,23,18,156,7,6,48
2022,24,Round 3,2022-04-02,MCG,Collingwood,Geelong,13,13,91,16,8,104
2022,25,Round 3,2022-04-03,MCG,Carlton,Hawthorn,11,8,74,11,7,73
2022,26,Round 3,2022-04-03,Docklands Stadium,St Kilda,Richmond,18,9,117,13,6,84
2022,27,Round 3,2022-04-03,Perth Stadium,West Coast,Fremantle,7,5,47,15,12,102
2022,28,Round 4,2022-04-07,Adelaide Oval,Port Adelaide,Melbourne,4,12,36,10,8,68
2022,29,Round 4,2022-04-08,Kardinia Park,Geelong,Brisbane Lions,11,14,80,11,4,70
2022,30,Round 4,2022-04-09,SCG,Sydney,North Melbourne,13,8,86,12,3,75
2022,31,Round 4,2022-04-09,Docklands Stadium,Collingwood,West Coast,10,14,74,14,3,87
2022,32,Round 4,2022-04-09,Perth Stadium,Fremantle,Greater Western Sydney,13,10,88,8,6,54
2022,33,Round 4,2022-04-09,MCG,Richmond,Western Bulldogs,15,9,99,7,19,61
2022,34,Round 4,2022-04-10,Docklands Stadium,Essendon,Adelaide,15,13,103,15,9,99
