season,match_id,round,date,venue,home_team,away_team,home_score,away_score,home_goals,away_goals,home_behinds,away_behinds
2010,1,Round 1,2010-03-25,MCG,Richmond,Carlton,64,120,9,18,10,12
2010,2,Round 1,2010-03-26,MCG,Geelong,Essendon,125,94,19,13,11,16
2010,3,Round 1,2010-03-27,MCG,Melbourne,Hawthorn,61,117,8,17,13,15
2010,4,Round 1,2010-03-27,Gabba,Brisbane Lions,West Coast,114,82,16,12,18,10
2010,5,Round 1,2010-03-27,Stadium Australia,Sydney,St Kilda,88,96,13,15,10,6
2010,6,Round 1,2010-03-28,Football Park,Port Adelaide,North Melbourne,96,82,13,12,18,10
2010,7,Round 1,2010-03-28,Subiaco Oval,Fremantle,Adelaide,118,62,17,9,16,8
2010,8,Round 1,2010-03-28,Docklands Stadium,Western Bulldogs,Collingwood,93,129,13,19,15,15
2010,9,Round 2,2010-04-01,Gabba,Brisbane Lions,Carlton,107,88,16,12,11,16
2010,10,Round 2,2010-04-03,MCG,Collingwood,Melbourne,86,85,12,12,14,13
2010,11,Round 2,2010-04-03,Subiaco Oval,West Coast,Port Adelaide,86,89,12,13,14,11
2010,12,Round 2,2010-04-03,Docklands Stadium,St Kilda,North Melbourne,143,39,23,6,5,3
2010,13,Round 2,2010-04-04,Football Park,Adelaide,Sydney,75,118,11,18,9,10
2010,14,Round 2,2010-04-04,MCG,Richmond,Western Bulldogs,48,120,7,17,6,18
2010,15,Round 2,2010-04-04,Docklands Stadium,Essendon,Fremantle,69,113,9,17,15,11
2010,16,Round 2,2010-04-05,MCG,Hawthorn,Geelong,91,100,13,14,13,16
2010,17,Round 3,2010-04-09,Docklands Stadium,St Kilda,Collingwood,69,41,10,4,9,17
2010,18,Round 3,2010-04-10,Docklands Stadium,North Melbourne,West Coast,116,91,17,13,14,13
2010,19,Round 3,2010-04-10,Football Park,Port Adelaide,Brisbane Lions,81,108,11,16,15,12
2010,20,Round 3,2010-04-10,SCG,Sydney,Richmond,111,56,16,7,15,14
2010,21,Round 3,2010-04-10,MCG,Carlton,Essendon,75,95,10,13,15,17
2010,22,Round 3,2010-04-11,MCG,Melbourne,Adelaide,57,41,7,5,15,11
2010,23,Round 3,2010-04-11,Docklands Stadium,Western Bulldogs,Hawthorn,100,84,14,12,16,12
2010,24,Round 3,2010-04-11,Subiaco Oval,Fremantle,Geelong,125,118,18,17,17,16
2010,25,Round 4,2010-04-16,Subiaco Oval,West Coast,Essendon,101,78,15,11,11,12
2010,26,Round 4,2010-04-17,Docklands Stadium,North Melbourne,Sydney,60,100,8,14,12,16
2010,27,Round 4,2010-04-17,Football Park,Adelaide,Carlton,55,103,6,16,19,7
2010,28,Round 4,2010-04-17,Gabba,Brisbane Lions,Western Bulldogs,101,79,13,12,23,7
2010,29,Round 4,2010-04-17,MCG,Collingwood,Hawthorn,123,59,17,8,21,11
2010,30,Round 4,2010-04-18,MCG,Richmond,Melbourne,78,133,11,20,12,13
2010,31,Round 4,2010-04-18,Kardinia Park,Geelong,Port Adelaide,159,64,23,10,21,4
2010,32,Round 4,2010-04-18,Docklands Stadium,St Kilda,Fremantle,108,93,16,14,12,9
2010,33,Round 5,2010-04-23,Docklands Stadium,Western Bulldogs,Adelaide,121,72,18,10,13,12
2010,34,Round 5,2010-04-24,SCG,Sydney,West Coast,115,63,17,9,13,9
2010,35,Round 5,2010-04-24,MCG,Melbourne,Brisbane Lions,103,53,15,7,13,11
2010,36,Round 5,2010-04-24,Football Park,Port Adelaide,St Kilda,54,44,7,6,12,8
2010,37,Round 5,2010-04-25,MCG,Collingwood,Essendon,120,55,18,8,12,7
2010,38,Round 5,2010-04-25,York Park,Hawthorn,North Melbourne,70,82,10,12,10,10
2010,39,Round 5,2010-04-25,Subiaco Oval,Fremantle,Richmond,112,73,15,11,22,7
2010,40,Round 5,2010-04-26,MCG,Carlton,Geelong,104,68,15,9,14,14
2010,41,Round 6,2010-04-30,Docklands Stadium,Western Bulldogs,St Kilda,46,49,6,7,10,7
2010,42,Round 6,2010-05-01,Docklands Stadium,North Melbourne,Melbourne,104,78,15,12,14,6
2010,43,Round 6,2010-05-01,Football Park,Adelaide,Port Adelaide,74,97,10,14,14,13
2010,44,Round 6,2010-05-01,SCG,Sydney,Brisbane Lions,107,87,16,13,11,9
2010,45,Round 6,2010-05-01,MCG,Essendon,Hawthorn,106,63,15,9,16,9
2010,46,Round 6,2010-05-02,Kardinia Park,Geelong,Richmond,161,53,24,7,17,11
2010,47,Round 6,2010-05-02,MCG,Carlton,Collingwood,102,155,16,24,6,11
2010,48,Round 6,2010-05-02,Subiaco Oval,West Coast,Fremantle,73,111,10,17,13,9
2010,49,Round 7,2010-05-07,MCG,Melbourne,Western Bulldogs,66,70,9,10,12,10
2010,50,Round 7,2010-05-08,Docklands Stadium,Essendon,Port Adelaide,106,109,16,17,10,7
2010,51,Round 7,2010-05-08,Subiaco Oval,West Coast,Hawthorn,102,94,15,14,12,10
2010,52,Round 7,2010-05-08,Gabba,Brisbane Lions,Fremantle,100,113,15,15,10,23
2010,53,Round 7,2010-05-08,MCG,Collingwood,North Melbourne,157,91,23,14,19,7
2010,54,Round 7,2010-05-09,Kardinia Park,Geelong,Sydney,126,59,19,9,12,5
2010,55,Round 7,2010-05-09,Football Park,Adelaide,Richmond,104,54,15,7,14,12
2010,56,Round 7,2010-05-10,Docklands Stadium,St Kilda,Carlton,68,129,9,20,14,9
2010,57,Round 8,2010-05-14,Subiaco Oval,Fremantle,Collingwood,97,133,15,20,7,13
2010,58,Round 8,2010-05-15,Manuka Oval,Western Bulldogs,Sydney,101,63,14,9,17,9
2010,59,Round 8,2010-05-15,MCG,Melbourne,West Coast,46,75,6,10,10,15
2010,60,Round 8,2010-05-15,Docklands Stadium,North Melbourne,Adelaide,84,75,12,11,12,9
2010,61,Round 8,2010-05-15,Gabba,Brisbane Lions,Geelong,74,155,10,24,14,11
2010,62,Round 8,2010-05-16,MCG,Richmond,Hawthorn,86,89,13,13,8,11
2010,63,Round 8,2010-05-16,Football Park,Port Adelaide,Carlton,92,118,14,17,8,16
2010,64,Round 8,2010-05-16,Docklands Stadium,St Kilda,Essendon,81,93,11,14,15,9
2010,65,Round 9,2010-05-21,MCG,Collingwood,Geelong,50,86,6,12,14,14
2010,66,Round 9,2010-05-22,Docklands Stadium,North Melbourne,Western Bulldogs,57,127,7,20,15,7
2010,67,Round 9,2010-05-22,SCG,Sydney,Fremantle,63,100,9,14,9,16
2010,68,Round 9,2010-05-22,Marrara Oval,Melbourne,Port Adelaide,111,110,17,16,9,14
2010,69,Round 9,2010-05-22,MCG,Essendon,Richmond,130,95,19,14,16,11
2010,70,Round 9,2010-05-23,Football Park,Adelaide,Brisbane Lions,93,81,13,11,15,15
2010,71,Round 9,2010-05-23,Docklands Stadium,Carlton,Hawthorn,60,110,8,16,12,14
2010,72,Round 9,2010-05-23,Subiaco Oval,West Coast,St Kilda,56,91,8,13,8,13
2010,73,Round 10,2010-05-28,Docklands Stadium,Essendon,Western Bulldogs,99,90,15,14,9,6
2010,74,Round 10,2010-05-29,Kardinia Park,Geelong,Melbourne,121,67,18,10,13,7
2010,75,Round 10,2010-05-29,Football Park,Port Adelaide,Richmond,30,77,3,10,12,17
2010,76,Round 10,2010-05-29,Gabba,Brisbane Lions,Collingwood,88,80,13,11,10,14
2010,77,Round 10,2010-05-29,Docklands Stadium,St Kilda,Adelaide,123,76,19,12,9,4
2010,78,Round 10,2010-05-30,MCG,Hawthorn,Sydney,79,77,10,11,19,11
2010,79,Round 10,2010-05-30,Docklands Stadium,Carlton,West Coast,105,76,15,11,15,10
2010,80,Round 10,2010-05-30,Subiaco Oval,Fremantle,North Melbourne,139,78,21,11,13,12
2010,81,Round 11,2010-06-04,Docklands Stadium,Richmond,St Kilda,59,97,8,14,11,13
2010,82,Round 11,2010-06-05,MCG,Carlton,Melbourne,101,60,15,9,11,6
2010,83,Round 11,2010-06-05,Football Park,Adelaide,Fremantle,105,82,16,12,9,10
2010,84,Round 11,2010-06-05,Docklands Stadium,North Melbourne,Brisbane Lions,90,89,12,13,18,11
2010,85,Round 11,2010-06-05,Subiaco Oval,West Coast,Geelong,98,122,14,18,14,14
2010,86,Round 11,2010-06-06,SCG,Sydney,Essendon,89,80,12,12,17,8
2010,87,Round 11,2010-06-06,MCG,Hawthorn,Port Adelaide,74,63,10,8,14,15
2010,88,Round 11,2010-06-06,Docklands Stadium,Collingwood,Western Bulldogs,113,103,17,16,11,7
2010,89,Round 12,2010-06-11,Docklands Stadium,North Melbourne,Carlton,97,68,14,10,13,8
2010,90,Round 12,2010-06-12,York Park,Hawthorn,Adelaide,124,77,19,11,10,11
2010,91,Round 12,2010-06-12,Football Park,Port Adelaide,Sydney,55,93,8,14,7,9
2010,92,Round 12,2010-06-12,Docklands Stadium,Essendon,Geelong,83,154,12,23,11,16
2010,93,Round 12,2010-06-13,MCG,Richmond,West Coast,126,77,19,11,12,11
2010,94,Round 12,2010-06-13,Docklands Stadium,Western Bulldogs,Brisbane Lions,121,56,17,8,19,8
2010,95,Round 12,2010-06-13,Subiaco Oval,Fremantle,St Kilda,67,85,10,12,7,13
2010,96,Round 12,2010-06-14,MCG,Melbourne,Collingwood,76,76,11,9,10,22
2010,97,Round 13,2010-06-18,MCG,Hawthorn,Essendon,102,86,14,13,18,8
2010,98,Round 13,2010-06-19,Docklands Stadium,Carlton,Fremantle,87,96,12,14,15,12
2010,99,Round 13,2010-06-19,Gabba,Brisbane Lions,Richmond,86,105,12,15,14,15
2010,100,Round 13,2010-06-20,Docklands Stadium,North Melbourne,Port Adelaide,129,93,19,14,15,9
2010,101,Round 13,2010-06-20,Subiaco Oval,West Coast,Western Bulldogs,59,119,9,17,5,17
2010,102,Round 13,2010-06-25,MCG,St Kilda,Geelong,70,46,10,6,10,10
2010,103,Round 13,2010-06-26,Stadium Australia,Sydney,Collingwood,71,96,10,13,11,18
2010,104,Round 13,2010-06-27,Football Park,Adelaide,Melbourne,117,73,16,11,21,7
2010,105,Round 14,2010-07-01,Docklands Stadium,Carlton,Brisbane Lions,120,65,18,9,12,11
