season,match_id,round,date,venue,home_team,away_team,home_score,away_score,home_goals,away_goals,home_behinds,away_behinds
2017,1,Round 1,2017-03-23,MCG,Carlton,Richmond,89,132,14,20,5,12
2017,2,Round 1,2017-03-24,MCG,Collingwood,Western Bulldogs,86,100,12,15,14,10
2017,3,Round 1,2017-03-25,SCG,Sydney,Port Adelaide,82,110,12,17,10,8
2017,4,Round 1,2017-03-25,Docklands Stadium,St Kilda,Melbourne,90,120,13,18,12,12
2017,5,Round 1,2017-03-25,MCG,Essendon,Hawthorn,116,91,17,12,14,19
2017,6,Round 1,2017-03-25,Carrara Stadium,Gold Coast,Brisbane Lions,96,98,14,15,12,8
2017,7,Round 1,2017-03-26,Docklands Stadium,North Melbourne,West Coast,93,136,13,21,15,10
2017,8,Round 1,2017-03-26,Adelaide Oval,Adelaide,Greater Western Sydney,147,91,22,14,15,7
2017,9,Round 1,2017-03-26,Subiaco Oval,Fremantle,Geelong,73,115,10,18,13,7
2017,10,Round 2,2017-03-30,MCG,Richmond,Collingwood,99,80,14,11,15,14
2017,11,Round 2,2017-03-31,Docklands Stadium,Western Bulldogs,Sydney,110,87,16,13,14,9
2017,12,Round 2,2017-04-01,MCG,Hawthorn,Adelaide,89,113,13,16,11,17
2017,13,Round 2,2017-04-01,Sydney Showground Stadium,Greater Western Sydney,Gold Coast,160,58,24,8,16,10
2017,14,Round 2,2017-04-01,Gabba,Brisbane Lions,Essendon,84,111,12,17,12,9
2017,15,Round 2,2017-04-01,Subiaco Oval,West Coast,St Kilda,116,97,18,13,8,19
2017,16,Round 2,2017-04-02,Docklands Stadium,Geelong,North Melbourne,112,111,17,17,10,9
2017,17,Round 2,2017-04-02,MCG,Melbourne,Carlton,86,64,13,9,8,10
2017,18,Round 2,2017-04-02,Adelaide Oval,Port Adelaide,Fremantle,145,56,22,8,13,8
2017,19,Round 3,2017-04-07,SCG,Sydney,Collingwood,79,80,11,11,13,14
2017,20,Round 3,2017-04-08,Bellerive Oval,North Melbourne,Greater Western Sydney,67,109,10,15,7,19
2017,21,Round 3,2017-04-08,MCG,Richmond,West Coast,76,65,11,8,10,17
2017,22,Round 3,2017-04-08,Docklands Stadium,Geelong,Melbourne,126,97,20,13,6,19
2017,23,Round 3,2017-04-08,Adelaide Oval,Port Adelaide,Adelaide,83,100,12,15,11,10
2017,24,Round 3,2017-04-08,Subiaco Oval,Fremantle,Western Bulldogs,89,73,13,10,11,13
2017,25,Round 3,2017-04-09,Docklands Stadium,St Kilda,Brisbane Lions,107,76,14,11,23,10
2017,26,Round 3,2017-04-09,MCG,Carlton,Essendon,57,42,7,6,15,6
2017,27,Round 3,2017-04-09,Carrara Stadium,Gold Coast,Hawthorn,139,53,21,7,13,11
2017,28,Round 4,2017-04-13,Subiaco Oval,West Coast,Sydney,91,65,13,10,13,5
2017,29,Round 4,2017-04-14,Docklands Stadium,North Melbourne,Western Bulldogs,86,89,12,12,14,17
2017,30,Round 4,2017-04-15,MCG,Melbourne,Fremantle,104,106,15,16,14,10
2017,31,Round 4,2017-04-15,Manuka Oval,Greater Western Sydney,Port Adelaide,112,81,16,11,16,15
2017,32,Round 4,2017-04-15,Docklands Stadium,Carlton,Gold Coast,82,108,12,17,10,6
2017,33,Round 4,2017-04-15,Adelaide Oval,Adelaide,Essendon,153,88,24,13,9,10
2017,34,Round 4,2017-04-16,Docklands Stadium,Collingwood,St Kilda,55,69,7,9,13,15
2017,35,Round 4,2017-04-16,Gabba,Brisbane Lions,Richmond,67,119,10,17,7,17
2017,36,Round 4,2017-04-17,MCG,Hawthorn,Geelong,48,134,6,20,12,14
2017,37,Round 5,2017-04-21,Adelaide Oval,Port Adelaide,Carlton,137,47,20,6,17,11
2017,38,Round 5,2017-04-22,Docklands Stadium,Western Bulldogs,Brisbane Lions,122,90,17,14,20,6
2017,39,Round 5,2017-04-22,Carrara Stadium,Gold Coast,Adelaide,86,153,13,23,8,15
2017,40,Round 5,2017-04-22,SCG,Sydney,Greater Western Sydney,63,105,9,15,9,15
2017,41,Round 5,2017-04-22,Subiaco Oval,Fremantle,North Melbourne,67,62,9,9,13,8
2017,42,Round 5,2017-04-23,Docklands Stadium,St Kilda,Geelong,88,126,13,19,10,12
2017,43,Round 5,2017-04-23,MCG,Hawthorn,West Coast,125,75,19,11,11,9
2017,44,Round 5,2017-04-24,MCG,Richmond,Melbourne,88,75,12,11,16,9
2017,45,Round 5,2017-04-25,MCG,Essendon,Collingwood,100,82,15,11,10,16
2017,46,Round 6,2017-04-28,Manuka Oval,Greater Western Sydney,Western Bulldogs,75,73,11,9,9,19
2017,47,Round 6,2017-04-29,York Park,Hawthorn,St Kilda,55,130,8,19,7,16
2017,48,Round 6,2017-04-29,MCG,Carlton,Sydney,97,78,15,11,7,12
2017,49,Round 6,2017-04-29,Gabba,Brisbane Lions,Port Adelaide,67,150,10,22,7,18
2017,50,Round 6,2017-04-29,Docklands Stadium,North Melbourne,Gold Coast,107,94,16,14,11,10
2017,51,Round 6,2017-04-29,Subiaco Oval,West Coast,Fremantle,103,62,16,9,7,8
2017,52,Round 6,2017-04-30,Docklands Stadium,Essendon,Melbourne,74,112,10,17,14,10
2017,53,Round 6,2017-04-30,MCG,Geelong,Collingwood,78,107,11,15,12,17
2017,54,Round 6,2017-04-30,Adelaide Oval,Adelaide,Richmond,140,64,21,10,14,4
2017,55,Round 7,2017-05-05,Docklands Stadium,St Kilda,Greater Western Sydney,108,85,16,12,12,13
2017,56,Round 7,2017-05-06,Bellerive Oval,North Melbourne,Adelaide,145,86,22,13,13,8
2017,57,Round 7,2017-05-06,MCG,Collingwood,Carlton,56,79,8,12,8,7
2017,58,Round 7,2017-05-06,Adelaide Oval,Port Adelaide,West Coast,87,97,12,15,15,7
2017,59,Round 7,2017-05-06,Carrara Stadium,Gold Coast,Geelong,124,99,18,15,16,9
2017,60,Round 7,2017-05-06,Docklands Stadium,Western Bulldogs,Richmond,80,75,11,11,14,9
2017,61,Round 7,2017-05-07,SCG,Sydney,Brisbane Lions,135,81,20,12,15,9
2017,62,Round 7,2017-05-07,MCG,Melbourne,Hawthorn,91,94,14,14,7,10
2017,63,Round 7,2017-05-07,Subiaco Oval,Fremantle,Essendon,116,79,17,11,14,13
2017,64,Round 8,2017-05-12,Subiaco Oval,West Coast,Western Bulldogs,69,61,9,8,15,13
2017,65,Round 8,2017-05-13,York Park,Hawthorn,Brisbane Lions,113,75,17,11,11,9
2017,66,Round 8,2017-05-13,Docklands Stadium,St Kilda,Carlton,85,66,12,10,13,6
2017,67,Round 8,2017-05-13,Sydney Showground Stadium,Greater Western Sydney,Collingwood,102,99,15,15,12,9
2017,68,Round 8,2017-05-13,MCG,Essendon,Geelong,110,93,17,13,8,15
2017,69,Round 8,2017-05-13,Adelaide Oval,Adelaide,Melbourne,66,107,9,17,12,5
2017,70,Round 8,2017-05-14,MCG,Richmond,Fremantle,70,72,10,10,10,12
2017,71,Round 8,2017-05-14,Jiangwan Stadium,Gold Coast,Port Adelaide,38,110,4,16,14,14
2017,72,Round 8,2017-05-14,Docklands Stadium,North Melbourne,Sydney,78,120,11,18,12,12
2017,73,Round 9,2017-05-19,Kardinia Park,Geelong,Western Bulldogs,104,81,16,12,8,9
2017,74,Round 9,2017-05-20,Docklands Stadium,St Kilda,Sydney,68,118,10,18,8,10
2017,75,Round 9,2017-05-20,Sydney Showground Stadium,Greater Western Sydney,Richmond,78,75,11,10,12,15
2017,76,Round 9,2017-05-20,Gabba,Brisbane Lions,Adelaide,60,140,7,21,18,14
2017,77,Round 9,2017-05-20,MCG,Collingwood,Hawthorn,90,72,13,11,12,6
2017,78,Round 9,2017-05-21,Docklands Stadium,Essendon,West Coast,125,64,19,8,11,16
2017,79,Round 9,2017-05-21,MCG,Melbourne,North Melbourne,90,104,13,15,12,14
2017,80,Round 9,2017-05-21,Subiaco Oval,Fremantle,Carlton,86,51,13,7,8,9
2017,81,Round 10,2017-05-25,Kardinia Park,Geelong,Port Adelaide,81,79,11,11,15,13
2017,82,Round 10,2017-05-26,SCG,Sydney,Hawthorn,75,81,11,12,9,9
2017,83,Round 10,2017-05-27,Docklands Stadium,Western Bulldogs,St Kilda,90,50,13,7,12,8
2017,84,Round 10,2017-05-27,Traeger Park,Melbourne,Gold Coast,122,87,18,13,14,9
2017,85,Round 10,2017-05-27,MCG,Richmond,Essendon,81,66,11,10,15,6
2017,86,Round 10,2017-05-27,Adelaide Oval,Adelaide,Fremantle,143,43,20,6,23,7
2017,87,Round 10,2017-05-28,MCG,Collingwood,Brisbane Lions,129,84,18,13,21,6
2017,88,Round 10,2017-05-28,Docklands Stadium,Carlton,North Melbourne,96,113,15,17,6,11
2017,89,Round 10,2017-05-28,Subiaco Oval,West Coast,Greater Western Sydney,90,98,14,14,6,14
2017,90,Round 11,2017-06-01,Adelaide Oval,Port Adelaide,Hawthorn,98,47,13,7,20,5
2017,91,Round 11,2017-06-02,Kardinia Park,Geelong,Adelaide,96,74,13,10,18,14
2017,92,Round 11,2017-06-03,Carrara Stadium,Gold Coast,West Coast,80,77,11,11,14,11
2017,93,Round 11,2017-06-03,Sydney Showground Stadium,Greater Western Sydney,Essendon,117,101,18,15,9,11
2017,94,Round 11,2017-06-03,Docklands Stadium,North Melbourne,Richmond,66,101,9,14,12,17
2017,95,Round 11,2017-06-04,Subiaco Oval,Fremantle,Collingwood,85,105,12,15,13,15
2017,96,Round 12,2017-06-08,SCG,Sydney,Western Bulldogs,88,42,12,6,16,6
2017,97,Round 12,2017-06-09,Adelaide Oval,Adelaide,St Kilda,111,54,16,7,15,12
2017,98,Round 12,2017-06-10,MCG,Hawthorn,Gold Coast,79,95,12,14,7,11
2017,99,Round 12,2017-06-10,Gabba,Brisbane Lions,Fremantle,121,64,18,9,13,10
2017,100,Round 12,2017-06-10,Docklands Stadium,Essendon,Port Adelaide,131,61,19,8,17,13
2017,101,Round 12,2017-06-11,Docklands Stadium,Carlton,Greater Western Sydney,71,70,10,9,11,16
2017,102,Round 12,2017-06-12,MCG,Melbourne,Collingwood,104,100,15,15,14,10
2017,103,Round 13,2017-06-15,Subiaco Oval,West Coast,Geelong,83,70,11,10,17,10
2017,104,Round 13,2017-06-16,Docklands Stadium,North Melbourne,St Kilda,72,89,10,12,12,17
2017,105,Round 13,2017-06-17,MCG,Richmond,Sydney,71,80,10,12,11,8
2017,106,Round 13,2017-06-17,Adelaide Oval,Port Adelaide,Brisbane Lions,121,81,18,12,13,9
2017,107,Round 13,2017-06-17,Carrara Stadium,Gold Coast,Carlton,73,83,11,12,7,11
2017,108,Round 13,2017-06-18,Docklands Stadium,Western Bulldogs,Melbourne,56,113,8,17,8,11
2017,109,Round 14,2017-06-22,Adelaide Oval,Adelaide,Hawthorn,82,96,12,14,10,12
2017,110,Round 14,2017-06-23,SCG,Sydney,Essendon,86,85,11,12,20,13
2017,111,Round 14,2017-06-24,MCG,Collingwood,Port Adelaide,62,93,9,13,8,15
2017,112,Round 14,2017-06-24,Gabba,Brisbane Lions,Greater Western Sydney,86,146,12,22,14,14
2017,113,Round 14,2017-06-24,Docklands Stadium,Western Bulldogs,North Melbourne,107,106,15,16,17,10
2017,114,Round 14,2017-06-24,Subiaco Oval,West Coast,Melbourne,96,99,14,15,12,9
2017,115,Round 14,2017-06-25,Kardinia Park,Geelong,Fremantle,74,72,10,11,14,6
2017,116,Round 14,2017-06-25,MCG,Richmond,Carlton,84,58,11,8,18,10
