season,match_id,round,date,venue,home_team,away_team,home_score,away_score,home_goals,away_goals,home_behinds,away_behinds
2011,1,Round 1,2011-03-24,MCG,Carlton,Richmond,104,84,14,13,20,6
2011,2,Round 1,2011-03-25,MCG,Geelong,St Kilda,48,47,6,6,12,11
2011,3,Round 1,2011-03-26,Docklands Stadium,Collingwood,Port Adelaide,155,80,24,12,11,8
2011,4,Round 1,2011-03-26,Football Park,Adelaide,Hawthorn,105,85,16,12,9,13
2011,5,Round 1,2011-03-26,Gabba,Brisbane Lions,Fremantle,92,94,14,13,8,16
2011,6,Round 1,2011-03-27,Docklands Stadium,Essendon,Western Bulldogs,113,58,16,8,17,10
2011,7,Round 1,2011-03-27,MCG,Melbourne,Sydney,84,84,11,11,18,18
2011,8,Round 1,2011-03-27,Subiaco Oval,West Coast,North Melbourne,92,88,13,13,14,10
2011,9,Round 2,2011-04-01,MCG,St Kilda,Richmond,95,95,13,14,17,11
2011,10,Round 2,2011-04-02,Docklands Stadium,North Melbourne,Collingwood,56,143,7,21,14,17
2011,11,Round 2,2011-04-02,Football Park,Port Adelaide,West Coast,98,116,15,16,8,20
2011,12,Round 2,2011-04-02,Gabba,Gold Coast,Carlton,52,171,7,26,10,15
2011,13,Round 2,2011-04-02,Subiaco Oval,Fremantle,Geelong,78,89,10,13,18,11
2011,14,Round 2,2011-04-03,Docklands Stadium,Western Bulldogs,Brisbane Lions,123,45,19,6,9,9
2011,15,Round 2,2011-04-03,Stadium Australia,Sydney,Essendon,98,93,14,13,14,15
2011,16,Round 2,2011-04-03,MCG,Hawthorn,Melbourne,122,77,16,12,26,5
2011,17,Round 3,2011-04-08,MCG,Collingwood,Carlton,102,74,15,11,12,8
2011,18,Round 3,2011-04-09,Docklands Stadium,Western Bulldogs,Gold Coast,122,51,18,7,14,9
2011,19,Round 3,2011-04-09,Football Park,Adelaide,Fremantle,54,79,7,11,12,13
2011,20,Round 3,2011-04-09,MCG,Richmond,Hawthorn,52,115,6,17,16,13
2011,21,Round 3,2011-04-09,Subiaco Oval,West Coast,Sydney,88,101,13,15,10,11
2011,22,Round 3,2011-04-10,MCG,Melbourne,Brisbane Lions,82,71,12,11,10,5
2011,23,Round 3,2011-04-10,Kardinia Park,Geelong,Port Adelaide,122,43,17,6,20,7
2011,24,Round 3,2011-04-10,Docklands Stadium,St Kilda,Essendon,84,136,12,21,12,10
2011,25,Round 4,2011-04-15,MCG,Richmond,Collingwood,90,161,13,24,12,17
2011,26,Round 4,2011-04-16,York Park,Hawthorn,West Coast,72,65,10,9,12,11
2011,27,Round 4,2011-04-16,MCG,Carlton,Essendon,79,79,11,11,13,13
2011,28,Round 4,2011-04-16,SCG,Sydney,Geelong,54,81,7,11,12,15
2011,29,Round 4,2011-04-16,Football Park,Port Adelaide,Adelaide,98,66,14,9,14,12
2011,30,Round 4,2011-04-17,Gabba,Gold Coast,Melbourne,69,159,9,23,15,21
2011,31,Round 4,2011-04-17,Subiaco Oval,Fremantle,North Melbourne,127,98,18,14,19,14
2011,32,Round 5,2011-04-21,Gabba,Brisbane Lions,St Kilda,76,89,11,13,10,11
2011,33,Round 5,2011-04-23,Football Park,Port Adelaide,Gold Coast,101,104,15,15,11,14
2011,34,Round 5,2011-04-23,Docklands Stadium,Carlton,Adelaide,85,79,11,12,19,7
2011,35,Round 5,2011-04-24,Docklands Stadium,North Melbourne,Richmond,103,112,14,17,19,10
2011,36,Round 5,2011-04-25,MCG,Essendon,Collingwood,77,107,11,16,11,11
2011,37,Round 5,2011-04-25,Subiaco Oval,Fremantle,Western Bulldogs,85,78,12,11,13,12
2011,38,Round 5,2011-04-26,MCG,Hawthorn,Geelong,98,117,15,17,8,15
2011,39,Round 6,2011-04-28,Subiaco Oval,West Coast,Melbourne,106,52,15,6,16,16
2011,40,Round 6,2011-04-29,SCG,Sydney,Carlton,71,87,10,12,11,15
2011,41,Round 6,2011-04-30,Docklands Stadium,North Melbourne,Port Adelaide,133,73,18,10,25,13
2011,42,Round 6,2011-04-30,MCG,Richmond,Brisbane Lions,124,98,18,14,16,14
2011,43,Round 6,2011-04-30,Football Park,Adelaide,St Kilda,90,71,13,9,12,17
2011,44,Round 6,2011-05-01,Docklands Stadium,Essendon,Gold Coast,197,58,31,8,11,10
2011,45,Round 6,2011-05-01,MCG,Collingwood,Western Bulldogs,105,57,15,8,15,9
2011,46,Round 7,2011-05-06,Football Park,Port Adelaide,Hawthorn,72,104,10,15,12,14
2011,47,Round 7,2011-05-07,Manuka Oval,Western Bulldogs,Sydney,65,73,10,10,5,13
2011,48,Round 7,2011-05-07,Kardinia Park,Geelong,North Melbourne,127,61,19,9,13,7
2011,49,Round 7,2011-05-07,MCG,Richmond,Fremantle,148,99,23,14,10,15
2011,50,Round 7,2011-05-07,Gabba,Gold Coast,Brisbane Lions,124,116,18,17,16,14
