"season","match_id","round","date","venue","home_team","away_team","home_score","away_score"
"2010",1,"Round 1",2014-03-25,"MCG","Richmond","Carlton",64,120
"2010",2,"Round 1",2014-03-26,"MCG","Geelong","Essendon",125,94
"2010",3,"Round 1",2014-03-27,"MCG","Melbourne","Hawthorn",61,117
"2010",4,"Round 1",2014-03-27,"Gabba","Brisbane Lions","West Coast",114,82
"2010",5,"Round 1",2014-03-27,"Stadium Australia","Sydney","St Kilda",88,96
"2010",6,"Round 1",2014-03-28,"Football Park","Port Adelaide","North Melbourne",96,82
"2010",7,"Round 1",2014-03-28,"Subiaco Oval","Fremantle","Adelaide",118,62
"2010",8,"Round 1",2014-03-28,"Docklands Stadium","Western Bulldogs","Collingwood",93,129
"2010",9,"Round 2",2014-04-01,"Gabba","Brisbane Lions","Carlton",107,88
"2010",10,"Round 2",2014-04-03,"MCG","Collingwood","Melbourne",86,85
"2010",11,"Round 2",2014-04-03,"Subiaco Oval","West Coast","Port Adelaide",86,89
"2010",12,"Round 2",2014-04-03,"Docklands Stadium","St Kilda","North Melbourne",143,39
"2010",13,"Round 2",2014-04-04,"Football Park","Adelaide","Sydney",75,118
"2010",14,"Round 2",2014-04-04,"MCG","Richmond","Western Bulldogs",48,120
"2010",15,"Round 2",2014-04-04,"Docklands Stadium","Essendon","Fremantle",69,113
"2010",16,"Round 2",2014-04-05,"MCG","Hawthorn","Geelong",91,100
"2010",17,"Round 3",2014-04-09,"Docklands Stadium","St Kilda","Collingwood",69,41
"2010",18,"Round 3",2014-04-10,"Docklands Stadium","North Melbourne","West Coast",116,91
"2010",19,"Round 3",2014-04-10,"Football Park","Port Adelaide","Brisbane Lions",81,108
"2010",20,"Round 3",2014-04-10,"SCG","Sydney","Richmond",111,56
"2010",21,"Round 3",2014-04-10,"MCG","Carlton","Essendon",75,95
"2010",22,"Round 3",2014-04-11,"MCG","Melbourne","Adelaide",57,41
"2010",23,"Round 3",2014-04-11,"Docklands Stadium","Western Bulldogs","Hawthorn",100,84
"2010",24,"Round 3",2014-04-11,"Subiaco Oval","Fremantle","Geelong",125,118
"2010",25,"Round 4",2014-04-16,"Subiaco Oval","West Coast","Essendon",101,78
"2010",26,"Round 4",2014-04-17,"Docklands Stadium","North Melbourne","Sydney",60,100
"2010",27,"Round 4",2014-04-17,"Football Park","Adelaide","Carlton",55,103
"2010",28,"Round 4",2014-04-17,"Gabba","Brisbane Lions","Western Bulldogs",101,79
"2010",29,"Round 4",2014-04-17,"MCG","Collingwood","Hawthorn",123,59
"2010",30,"Round 4",2014-04-18,"MCG","Richmond","Melbourne",78,133
"2010",31,"Round 4",2014-04-18,"Kardinia Park","Geelong","Port Adelaide",159,64
"2010",32,"Round 4",2014-04-18,"Docklands Stadium","St Kilda","Fremantle",108,93
"2010",33,"Round 5",2014-04-23,"Docklands Stadium","Western Bulldogs","Adelaide",121,72
"2010",34,"Round 5",2014-04-24,"SCG","Sydney","West Coast",115,63
"2010",35,"Round 5",2014-04-24,"MCG","Melbourne","Brisbane Lions",103,53
"2010",36,"Round 5",2014-04-24,"Football Park","Port Adelaide","St Kilda",54,44
"2010",37,"Round 5",2014-04-25,"MCG","Collingwood","Essendon",120,55
