"season","match_id","round","date","venue","home_team","away_team","home_score","away_score"
"2015",1,"Round 1",2015-04-02,"MCG","Carlton","Richmond",78,105
"2015",2,"Round 1",2015-04-04,"MCG","Melbourne","Gold Coast",115,89
"2015",3,"Round 1",2015-04-04,"Stadium Australia","Sydney","Essendon",72,60
"2015",4,"Round 1",2015-04-04,"Gabba","Brisbane Lions","Collingwood",74,86
"2015",5,"Round 1",2015-04-04,"Docklands Stadium","Western Bulldogs","West Coast",97,87
"2015",6,"Round 1",2015-04-05,"Docklands Stadium","St Kilda","Greater Western Sydney",78,87
"2015",7,"Round 1",2015-04-05,"Adelaide Oval","Adelaide","North Melbourne",140,63
"2015",8,"Round 1",2015-04-05,"Subiaco Oval","Fremantle","Port Adelaide",75,68
"2015",9,"Round 1",2015-04-06,"MCG","Hawthorn","Geelong",123,61
"2015",10,"Round 2",2015-04-10,"Subiaco Oval","West Coast","Carlton",131,62
"2015",11,"Round 2",2015-04-11,"MCG","Richmond","Western Bulldogs",66,85
"2015",12,"Round 2",2015-04-11,"Manuka Oval","Greater Western Sydney","Melbourne",101,56
"2015",13,"Round 2",2015-04-11,"Docklands Stadium","Collingwood","Adelaide",63,90
"2015",14,"Round 2",2015-04-11,"Carrara Stadium","Gold Coast","St Kilda",76,104
"2015",15,"Round 2",2015-04-11,"Adelaide Oval","Port Adelaide","Sydney",44,92
"2015",16,"Round 2",2015-04-12,"Kardinia Park","Geelong","Fremantle",60,104
"2015",17,"Round 2",2015-04-12,"MCG","Essendon","Hawthorn",78,76
"2015",18,"Round 2",2015-04-12,"Docklands Stadium","North Melbourne","Brisbane Lions",133,51
"2015",19,"Round 3",2015-04-17,"MCG","Collingwood","St Kilda",140,66
"2015",20,"Round 3",2015-04-18,"MCG","Carlton","Essendon",84,105
"2015",21,"Round 3",2015-04-18,"Adelaide Oval","Adelaide","Melbourne",80,55
"2015",22,"Round 3",2015-04-18,"SCG","Sydney","Greater Western Sydney",111,90
"2015",23,"Round 3",2015-04-18,"Docklands Stadium","North Melbourne","Port Adelaide",105,113
"2015",24,"Round 3",2015-04-18,"Gabba","Brisbane Lions","Richmond",58,137
"2015",25,"Round 3",2015-04-19,"York Park","Hawthorn","Western Bulldogs",127,57
"2015",26,"Round 3",2015-04-19,"Kardinia Park","Geelong","Gold Coast",105,96
"2015",27,"Round 3",2015-04-19,"Subiaco Oval","West Coast","Fremantle",81,111
"2015",28,"Round 4",2015-04-24,"MCG","Richmond","Melbourne",51,83
"2015",29,"Round 4",2015-04-25,"Wellington Regional Stadium","St Kilda","Carlton",81,121
"2015",30,"Round 4",2015-04-25,"MCG","Essendon","Collingwood",49,69
"2015",31,"Round 4",2015-04-25,"Manuka Oval","Greater Western Sydney","Gold Coast",119,53
"2015",32,"Round 4",2015-04-25,"Adelaide Oval","Port Adelaide","Hawthorn",99,91
"2015",33,"Round 4",2015-04-25,"Subiaco Oval","Fremantle","Sydney",74,60
"2015",34,"Round 4",2015-04-26,"Gabba","Brisbane Lions","West Coast",65,118
"2015",35,"Round 4",2015-04-26,"Kardinia Park","Geelong","North Melbourne",67,83
"2015",36,"Round 4",2015-04-26,"Docklands Stadium","Western Bulldogs","Adelaide",125,68
"2015",37,"Round 5",2015-05-01,"MCG","Carlton","Collingwood",45,120
"2015",38,"Round 5",2015-05-02,"MCG","Richmond","Geelong",76,85
"2015",39,"Round 5",2015-05-02,"SCG","Sydney","Western Bulldogs",73,77
"2015",40,"Round 5",2015-05-02,"Carrara Stadium","Gold Coast","Brisbane Lions",118,54
"2015",41,"Round 5",2015-05-02,"Docklands Stadium","North Melbourne","Hawthorn",70,130
"2015",42,"Round 5",2015-05-02,"Subiaco Oval","West Coast","Greater Western Sydney",120,33
"2015",43,"Round 5",2015-05-03,"MCG","Melbourne","Fremantle",50,118
"2015",44,"Round 5",2015-05-03,"Docklands Stadium","St Kilda","Essendon",80,82
"2015",45,"Round 5",2015-05-03,"Adelaide Oval","Adelaide","Port Adelaide",91,115
"2015",46,"Round 6",2015-05-08,"MCG","Collingwood","Geelong",59,100
"2015",47,"Round 6",2015-05-09,"Bellerive Oval","North Melbourne","Richmond",109,74
"2015",48,"Round 6",2015-05-09,"Docklands Stadium","Western Bulldogs","St Kilda",87,94
"2015",49,"Round 6",2015-05-09,"Sydney Showground Stadium","Greater Western Sydney","Hawthorn",108,98
"2015",50,"Round 6",2015-05-09,"Carrara Stadium","Gold Coast","Adelaide",78,119
"2015",51,"Round 6",2015-05-09,"MCG","Melbourne","Sydney",50,88
"2015",52,"Round 6",2015-05-09,"Subiaco Oval","Fremantle","Essendon",80,52
"2015",53,"Round 6",2015-05-10,"Docklands Stadium","Carlton","Brisbane Lions",75,84
"2015",54,"Round 6",2015-05-10,"Adelaide Oval","Port Adelaide","West Coast",68,78
"2015",55,"Round 7",2015-05-15,"Docklands Stadium","Essendon","North Melbourne",82,93
"2015",56,"Round 7",2015-05-16,"Adelaide Oval","Adelaide","St Kilda",119,73
"2015",57,"Round 7",2015-05-16,"MCG","Hawthorn","Melbourne",155,50
"2015",58,"Round 7",2015-05-16,"Docklands Stadium","Carlton","Greater Western Sydney",57,135
"2015",59,"Round 7",2015-05-16,"Stadium Australia","Sydney","Geelong",120,77
"2015",60,"Round 7",2015-05-16,"Subiaco Oval","West Coast","Gold Coast",135,43
"2015",61,"Round 7",2015-05-17,"Docklands Stadium","Western Bulldogs","Fremantle",88,101
"2015",62,"Round 7",2015-05-17,"MCG","Richmond","Collingwood",105,100
"2015",63,"Round 7",2015-05-17,"Gabba","Brisbane Lions","Port Adelaide",102,65
"2015",64,"Round 8",2015-05-22,"Docklands Stadium","Geelong","Carlton",140,63
"2015",65,"Round 8",2015-05-23,"Docklands Stadium","St Kilda","West Coast",78,131
"2015",66,"Round 8",2015-05-23,"Sydney Showground Stadium","Greater Western Sydney","Adelaide",108,84
"2015",67,"Round 8",2015-05-23,"Carrara Stadium","Gold Coast","Collingwood",63,132
"2015",68,"Round 8",2015-05-23,"MCG","Hawthorn","Sydney",69,73
"2015",69,"Round 8",2015-05-23,"Subiaco Oval","Fremantle","North Melbourne",115,42
"2015",70,"Round 8",2015-05-24,"Docklands Stadium","Essendon","Brisbane Lions",136,78
