param,value
k,65.8477450489024
regress,0.3575311983863686
hga_vic,20.447168438673536
hga_nsw,11.597536823524033
hga_qld,14.114816012009497
hga_sa,17.49330342067367
hga_wa,26.348849613588758
hga_gee,35.77384675057188
hga_tas,26.141016281560198
hga_other,18.459690512726574
