"year","venue","location","team"
"2016","MCG","VIC","Richmond"
"2016","MCG","VIC","Melbourne"
"2016","MCG","VIC","Geelong"
"2016","MCG","VIC","Collingwood"
"2016","MCG","VIC","Essendon"
"2016","MCG","VIC","Hawthorn"
"2016","MCG","VIC","St Kilda"
"2016","MCG","VIC","Carlton"
"2016","Carrara Stadium","QLD","Gold Coast"
"2016","SCG","NSW","Sydney"
"2016","Docklands Stadium","VIC","North Melbourne"
"2016","Docklands Stadium","VIC","Western Bulldogs"
"2016","Docklands Stadium","VIC","St Kilda"
"2016","Docklands Stadium","VIC","Carlton"
"2016","Docklands Stadium","VIC","Richmond"
"2016","Docklands Stadium","VIC","Melbourne"
"2016","Docklands Stadium","VIC","Essendon"
"2016","Docklands Stadium","VIC","Geelong"
"2016","Docklands Stadium","VIC","Collingwood"
"2016","Adelaide Oval","SA","Port Adelaide"
"2016","Adelaide Oval","SA","Adelaide"
"2016","Subiaco Oval","WA","West Coast"
"2016","Subiaco Oval","WA","Fremantle"
"2016","Gabba","QLD","Brisbane Lions"
"2016","Manuka Oval","ACT","Greater Western Sydney"
"2016","Bellerive Oval","TAS","North Melbourne"
"2016","Kardinia Park","GEE","Geelong"
"2016","York Park","TAS","Hawthorn"
"2016","Sydney Showground Stadium","NSW","Greater Western Sydney"
"2016","Traeger Park","NT","Melbourne"
"2016","Marrara Oval","NT","Melbourne"
"2016","Cazaly's Stadium","QLD","Western Bulldogs"
