"year","venue","location","team"
"2010","MCG","VIC","Richmond"
"2010","MCG","VIC","Geelong"
"2010","MCG","VIC","Melbourne"
"2010","MCG","VIC","Collingwood"
"2010","MCG","VIC","Hawthorn"
"2010","MCG","VIC","Carlton"
"2010","MCG","VIC","Essendon"
"2010","MCG","VIC","St Kilda"
"2010","Gabba","QLD","Brisbane Lions"
"2010","Stadium Australia","NSW","Sydney"
"2010","Football Park","SA","Port Adelaide"
"2010","Football Park","SA","Adelaide"
"2010","Subiaco Oval","WA","Fremantle"
"2010","Subiaco Oval","WA","West Coast"
"2010","Docklands Stadium","VIC","Western Bulldogs"
"2010","Docklands Stadium","VIC","St Kilda"
"2010","Docklands Stadium","VIC","Essendon"
"2010","Docklands Stadium","VIC","North Melbourne"
"2010","Docklands Stadium","VIC","Carlton"
"2010","Docklands Stadium","VIC","Richmond"
"2010","Docklands Stadium","VIC","Collingwood"
"2010","Docklands Stadium","VIC","Geelong"
"2010","SCG","NSW","Sydney"
"2010","Kardinia Park","GEE","Geelong"
"2010","York Park","TAS","Hawthorn"
"2010","Manuka Oval","ACT","Western Bulldogs"
"2010","Marrara Oval","NT","Melbourne"
"2010","Marrara Oval","NT","Western Bulldogs"
