season,match_id,round,date,venue,home_team,away_team,home_score,away_score,home_goals,away_goals,home_behinds,away_behinds
2019,1,Round 1,2019-03-21,MCG,Carlton,Richmond,64,97,9,14,10,13
2019,2,Round 1,2019-03-22,MCG,Collingwood,Geelong,65,72,9,10,11,12
2019,3,Round 1,2019-03-23,MCG,Melbourne,Port Adelaide,61,87,9,12,7,15
2019,4,Round 1,2019-03-23,Adelaide Oval,Adelaide,Hawthorn,55,87,7,12,13,15
2019,5,Round 1,2019-03-23,Gabba,Brisbane Lions,West Coast,102,58,15,8,12,10
2019,6,Round 1,2019-03-23,Docklands Stadium,Western Bulldogs,Sydney,82,65,11,9,16,11
2019,7,Round 1,2019-03-24,Docklands Stadium,St Kilda,Gold Coast,85,84,13,13,7,6
2019,8,Round 1,2019-03-24,Sydney Showground Stadium,Greater Western Sydney,Essendon,112,40,16,5,16,10
2019,9,Round 1,2019-03-24,Perth Stadium,Fremantle,North Melbourne,141,59,21,9,15,5
2019,10,Round 2,2019-03-28,MCG,Richmond,Collingwood,66,110,10,17,6,8
2019,11,Round 2,2019-03-29,SCG,Sydney,Adelaide,62,88,8,12,14,16
2019,12,Round 2,2019-03-30,Docklands Stadium,Essendon,St Kilda,65,76,9,10,11,16
2019,13,Round 2,2019-03-30,Adelaide Oval,Port Adelaide,Carlton,88,72,13,11,10,6
2019,14,Round 2,2019-03-30,Perth Stadium,West Coast,Greater Western Sydney,104,52,16,7,8,10
2019,15,Round 2,2019-03-30,Kardinia Park,Geelong,Melbourne,126,46,20,6,6,10
2019,16,Round 2,2019-03-31,Docklands Stadium,North Melbourne,Brisbane Lions,87,107,13,16,9,11
2019,17,Round 2,2019-03-31,MCG,Hawthorn,Western Bulldogs,87,106,13,16,9,10
2019,18,Round 2,2019-03-31,Carrara Stadium,Gold Coast,Fremantle,61,58,7,8,19,10
2019,19,Round 3,2019-04-04,Adelaide Oval,Adelaide,Geelong,75,99,10,14,15,15
2019,20,Round 3,2019-04-05,MCG,Melbourne,Essendon,112,130,18,20,4,10
2019,21,Round 3,2019-04-06,Docklands Stadium,Carlton,Sydney,74,93,10,14,14,9
2019,22,Round 3,2019-04-06,Sydney Showground Stadium,Greater Western Sydney,Richmond,125,76,19,10,11,16
2019,23,Round 3,2019-04-06,Gabba,Brisbane Lions,Port Adelaide,107,90,16,13,11,12
2019,24,Round 3,2019-04-06,MCG,Collingwood,West Coast,76,98,11,15,10,8
2019,25,Round 3,2019-04-07,Docklands Stadium,Western Bulldogs,Gold Coast,68,73,9,10,14,13
2019,26,Round 3,2019-04-07,MCG,Hawthorn,North Melbourne,87,71,13,10,9,11
2019,27,Round 3,2019-04-07,Perth Stadium,Fremantle,St Kilda,71,66,11,9,5,12
2019,28,Round 4,2019-04-11,SCG,Sydney,Melbourne,78,100,11,15,12,10
2019,29,Round 4,2019-04-12,MCG,Collingwood,Western Bulldogs,78,64,11,9,12,10
2019,30,Round 4,2019-04-13,Kardinia Park,Geelong,Greater Western Sydney,75,79,11,11,9,13
2019,31,Round 4,2019-04-13,MCG,Essendon,Brisbane Lions,112,65,17,9,10,11
2019,32,Round 4,2019-04-13,Adelaide Oval,Port Adelaide,Richmond,92,99,14,15,8,9
2019,33,Round 4,2019-04-13,Docklands Stadium,North Melbourne,Adelaide,71,59,9,8,17,11
2019,34,Round 4,2019-04-13,Perth Stadium,West Coast,Fremantle,69,56,10,7,9,14
2019,35,Round 4,2019-04-14,Carrara Stadium,Gold Coast,Carlton,59,57,8,8,11,9
2019,36,Round 4,2019-04-14,Docklands Stadium,St Kilda,Hawthorn,74,69,10,10,14,9
2019,37,Round 5,2019-04-18,Gabba,Brisbane Lions,Collingwood,61,123,8,18,13,15
2019,38,Round 5,2019-04-19,Docklands Stadium,North Melbourne,Essendon,58,116,7,17,16,14
2019,39,Round 5,2019-04-19,Perth Stadium,West Coast,Port Adelaide,53,95,8,13,5,17
2019,40,Round 5,2019-04-20,Manuka Oval,Greater Western Sydney,Fremantle,82,106,11,16,16,10
2019,41,Round 5,2019-04-20,MCG,Melbourne,St Kilda,55,95,7,15,13,5
2019,42,Round 5,2019-04-20,Docklands Stadium,Richmond,Sydney,89,67,13,10,11,7
2019,43,Round 5,2019-04-21,Docklands Stadium,Western Bulldogs,Carlton,57,101,7,15,15,11
2019,44,Round 5,2019-04-21,Adelaide Oval,Adelaide,Gold Coast,119,46,18,6,11,10
2019,45,Round 5,2019-04-22,MCG,Hawthorn,Geelong,90,113,13,17,12,11
2019,46,Round 6,2019-04-24,MCG,Richmond,Melbourne,85,42,12,6,13,6
2019,47,Round 6,2019-04-25,MCG,Essendon,Collingwood,69,73,10,10,9,13
2019,48,Round 6,2019-04-26,Adelaide Oval,Port Adelaide,North Melbourne,88,72,12,11,16,6
2019,49,Round 6,2019-04-27,Carrara Stadium,Gold Coast,Brisbane Lions,62,111,9,16,8,15
2019,50,Round 6,2019-04-27,Docklands Stadium,St Kilda,Adelaide,68,97,10,15,8,7
2019,51,Round 6,2019-04-27,SCG,Sydney,Greater Western Sydney,79,120,12,18,7,12
2019,52,Round 6,2019-04-27,Perth Stadium,Fremantle,Western Bulldogs,88,69,13,9,10,15
2019,53,Round 6,2019-04-28,York Park,Hawthorn,Carlton,93,88,13,13,15,10
2019,54,Round 6,2019-04-28,Kardinia Park,Geelong,West Coast,104,46,15,7,14,4
2019,55,Round 7,2019-05-03,Docklands Stadium,Collingwood,Port Adelaide,108,69,15,10,18,9
2019,56,Round 7,2019-05-04,MCG,Melbourne,Hawthorn,79,74,11,11,13,8
2019,57,Round 7,2019-05-04,Manuka Oval,Greater Western Sydney,St Kilda,114,70,18,10,6,10
2019,58,Round 7,2019-05-04,Gabba,Brisbane Lions,Sydney,103,81,14,12,19,9
2019,59,Round 7,2019-05-04,Docklands Stadium,Western Bulldogs,Richmond,99,52,15,7,9,10
2019,60,Round 7,2019-05-04,Perth Stadium,West Coast,Gold Coast,80,57,11,8,14,9
2019,61,Round 7,2019-05-05,Docklands Stadium,Carlton,North Melbourne,62,120,8,18,14,12
2019,62,Round 7,2019-05-05,MCG,Geelong,Essendon,86,54,13,7,8,12
2019,63,Round 7,2019-05-05,Adelaide Oval,Adelaide,Fremantle,51,34,7,5,9,4
2019,64,Round 8,2019-05-10,SCG,Sydney,Essendon,77,72,11,10,11,12
2019,65,Round 8,2019-05-11,Eureka Stadium,Western Bulldogs,Brisbane Lions,92,76,13,11,14,10
2019,66,Round 8,2019-05-11,MCG,Carlton,Collingwood,87,106,13,16,9,10
2019,67,Round 8,2019-05-11,Carrara Stadium,Gold Coast,Melbourne,60,61,9,8,6,13
2019,68,Round 8,2019-05-11,Docklands Stadium,St Kilda,West Coast,70,88,10,12,10,16
2019,69,Round 8,2019-05-11,Adelaide Oval,Port Adelaide,Adelaide,68,88,9,13,14,10
2019,70,Round 8,2019-05-12,Docklands Stadium,North Melbourne,Geelong,80,104,11,16,14,8
2019,71,Round 8,2019-05-12,MCG,Hawthorn,Greater Western Sydney,71,38,10,5,11,8
2019,72,Round 8,2019-05-12,Perth Stadium,Fremantle,Richmond,86,111,12,17,14,9
2019,73,Round 9,2019-05-17,Perth Stadium,West Coast,Melbourne,85,69,13,9,7,15
2019,74,Round 9,2019-05-18,MCG,Collingwood,St Kilda,112,71,17,10,10,11
2019,75,Round 9,2019-05-18,Gabba,Brisbane Lions,Adelaide,93,92,13,13,15,14
2019,76,Round 9,2019-05-18,Kardinia Park,Geelong,Western Bulldogs,133,89,21,13,7,11
2019,77,Round 9,2019-05-18,Docklands Stadium,Essendon,Fremantle,60,53,8,7,12,11
2019,78,Round 9,2019-05-18,Bellerive Oval,North Melbourne,Sydney,72,77,10,11,12,11
2019,79,Round 9,2019-05-19,Adelaide Oval,Port Adelaide,Gold Coast,89,51,13,7,11,9
2019,80,Round 9,2019-05-19,MCG,Richmond,Hawthorn,95,59,14,8,11,11
2019,81,Round 9,2019-05-19,Sydney Showground Stadium,Greater Western Sydney,Carlton,138,45,20,7,18,3
2019,82,Round 10,2019-05-24,SCG,Sydney,Collingwood,73,80,11,11,7,14
2019,83,Round 10,2019-05-25,York Park,Hawthorn,Port Adelaide,80,49,12,6,8,13
2019,84,Round 10,2019-05-25,Docklands Stadium,Western Bulldogs,North Melbourne,90,115,13,18,12,7
2019,85,Round 10,2019-05-25,Adelaide Oval,Adelaide,West Coast,73,85,10,13,13,7
2019,86,Round 10,2019-05-25,Carrara Stadium,Gold Coast,Geelong,64,91,9,13,10,13
2019,87,Round 10,2019-05-25,MCG,Richmond,Essendon,73,50,10,6,13,14
2019,88,Round 10,2019-05-26,MCG,Melbourne,Greater Western Sydney,68,94,10,14,8,10
2019,89,Round 10,2019-05-26,Docklands Stadium,St Kilda,Carlton,68,55,9,8,14,7
2019,90,Round 10,2019-05-26,Perth Stadium,Fremantle,Brisbane Lions,73,72,10,10,13,12
2019,91,Round 11,2019-05-31,Docklands Stadium,North Melbourne,Richmond,99,62,15,9,9,8
2019,92,Round 11,2019-06-01,MCG,Collingwood,Fremantle,75,79,11,11,9,13
