"season","match_id","round","date","venue","home_team","away_team","home_score","away_score"
"2012",1,"Round 1",2014-03-24,"Stadium Australia","Greater Western Sydney","Sydney",37,100
"2012",2,"Round 1",2014-03-29,"MCG","Richmond","Carlton",81,125
"2012",3,"Round 1",2014-03-30,"MCG","Hawthorn","Collingwood",137,115
"2012",4,"Round 1",2014-03-31,"MCG","Melbourne","Brisbane Lions",78,119
"2012",5,"Round 1",2014-03-31,"Carrara Stadium","Gold Coast","Adelaide",68,137
"2012",6,"Round 1",2014-03-31,"Subiaco Oval","Fremantle","Geelong",105,101
"2012",7,"Round 1",2014-03-31,"Docklands Stadium","North Melbourne","Essendon",102,104
"2012",8,"Round 1",2014-04-01,"Docklands Stadium","Western Bulldogs","West Coast",87,136
"2012",9,"Round 1",2014-04-01,"Football Park","Port Adelaide","St Kilda",89,85
"2012",10,"Round 2",2014-04-05,"Gabba","Brisbane Lions","Carlton",63,154
"2012",11,"Round 2",2014-04-07,"Docklands Stadium","Essendon","Port Adelaide",111,86
"2012",12,"Round 2",2014-04-07,"SCG","Sydney","Fremantle",94,81
"2012",13,"Round 2",2014-04-07,"Subiaco Oval","West Coast","Melbourne",166,58
"2012",14,"Round 2",2014-04-07,"Football Park","Adelaide","Western Bulldogs",82,64
"2012",15,"Round 2",2014-04-07,"MCG","Collingwood","Richmond",85,64
"2012",16,"Round 2",2014-04-08,"Bellerive Oval","North Melbourne","Greater Western Sydney",183,54
"2012",17,"Round 2",2014-04-08,"Docklands Stadium","St Kilda","Gold Coast",139,47
"2012",18,"Round 2",2014-04-09,"MCG","Geelong","Hawthorn",92,90
"2012",19,"Round 3",2014-04-13,"MCG","Carlton","Collingwood",122,62
"2012",20,"Round 3",2014-04-14,"MCG","Richmond","Melbourne",133,74
"2012",21,"Round 3",2014-04-14,"Football Park","Port Adelaide","Sydney",83,105
"2012",22,"Round 3",2014-04-14,"Subiaco Oval","Fremantle","Brisbane Lions",64,35
"2012",23,"Round 3",2014-04-14,"Docklands Stadium","Western Bulldogs","St Kilda",40,103
"2012",24,"Round 3",2014-04-14,"Carrara Stadium","Gold Coast","Essendon",88,105
"2012",25,"Round 3",2014-04-15,"Blacktown International Sportspark","Greater Western Sydney","West Coast",69,150
"2012",26,"Round 3",2014-04-15,"MCG","Hawthorn","Adelaide",140,84
"2012",27,"Round 3",2014-04-15,"Docklands Stadium","North Melbourne","Geelong",131,114
"2012",28,"Round 4",2014-04-20,"Docklands Stadium","St Kilda","Fremantle",79,92
"2012",29,"Round 4",2014-04-21,"MCG","Carlton","Essendon",79,109
"2012",30,"Round 4",2014-04-21,"Docklands Stadium","Collingwood","Port Adelaide",97,73
"2012",31,"Round 4",2014-04-21,"Football Park","Adelaide","Greater Western Sydney",96,50
"2012",32,"Round 4",2014-04-21,"Gabba","Brisbane Lions","Gold Coast",111,46
"2012",33,"Round 4",2014-04-21,"Subiaco Oval","West Coast","Hawthorn",51,46
"2012",34,"Round 4",2014-04-22,"Kardinia Park","Geelong","Richmond",75,65
"2012",35,"Round 4",2014-04-22,"SCG","Sydney","North Melbourne",113,77
"2012",36,"Round 4",2014-04-22,"MCG","Melbourne","Western Bulldogs",67,88
"2012",37,"Round 5",2014-04-25,"MCG","Collingwood","Essendon",80,79
