"season","match_id","round","date","venue","home_team","away_team","home_score","away_score"
"2017",1,"Round 1",2017-03-23,"MCG","Carlton","Richmond",89,132
"2017",2,"Round 1",2017-03-24,"MCG","Collingwood","Western Bulldogs",86,100
"2017",3,"Round 1",2017-03-25,"SCG","Sydney","Port Adelaide",82,110
"2017",4,"Round 1",2017-03-25,"Docklands Stadium","St Kilda","Melbourne",90,120
"2017",5,"Round 1",2017-03-25,"MCG","Essendon","Hawthorn",116,91
"2017",6,"Round 1",2017-03-25,"Carrara Stadium","Gold Coast","Brisbane Lions",96,98
"2017",7,"Round 1",2017-03-26,"Docklands Stadium","North Melbourne","West Coast",93,136
"2017",8,"Round 1",2017-03-26,"Adelaide Oval","Adelaide","Greater Western Sydney",147,91
"2017",9,"Round 1",2017-03-26,"Subiaco Oval","Fremantle","Geelong",73,115
"2017",10,"Round 2",2017-03-30,"MCG","Richmond","Collingwood",99,80
"2017",11,"Round 2",2017-03-31,"Docklands Stadium","Western Bulldogs","Sydney",110,87
"2017",12,"Round 2",2017-04-01,"MCG","Hawthorn","Adelaide",89,113
"2017",13,"Round 2",2017-04-01,"Sydney Showground Stadium","Greater Western Sydney","Gold Coast",160,58
"2017",14,"Round 2",2017-04-01,"Gabba","Brisbane Lions","Essendon",84,111
"2017",15,"Round 2",2017-04-01,"Subiaco Oval","West Coast","St Kilda",116,97
"2017",16,"Round 2",2017-04-02,"Docklands Stadium","Geelong","North Melbourne",112,111
"2017",17,"Round 2",2017-04-02,"MCG","Melbourne","Carlton",86,64
"2017",18,"Round 2",2017-04-02,"Adelaide Oval","Port Adelaide","Fremantle",145,56
"2017",19,"Round 3",2017-04-07,"SCG","Sydney","Collingwood",79,80
"2017",20,"Round 3",2017-04-08,"Bellerive Oval","North Melbourne","Greater Western Sydney",67,109
"2017",21,"Round 3",2017-04-08,"MCG","Richmond","West Coast",76,65
"2017",22,"Round 3",2017-04-08,"Docklands Stadium","Geelong","Melbourne",126,97
"2017",23,"Round 3",2017-04-08,"Adelaide Oval","Port Adelaide","Adelaide",83,100
"2017",24,"Round 3",2017-04-08,"Subiaco Oval","Fremantle","Western Bulldogs",89,73
"2017",25,"Round 3",2017-04-09,"Docklands Stadium","St Kilda","Brisbane Lions",107,76
"2017",26,"Round 3",2017-04-09,"MCG","Carlton","Essendon",57,42
"2017",27,"Round 3",2017-04-09,"Carrara Stadium","Gold Coast","Hawthorn",139,53
"2017",28,"Round 4",2017-04-13,"Subiaco Oval","West Coast","Sydney",91,65
"2017",29,"Round 4",2017-04-14,"Docklands Stadium","North Melbourne","Western Bulldogs",86,89
"2017",30,"Round 4",2017-04-15,"MCG","Melbourne","Fremantle",104,106
"2017",31,"Round 4",2017-04-15,"Manuka Oval","Greater Western Sydney","Port Adelaide",112,81
"2017",32,"Round 4",2017-04-15,"Docklands Stadium","Carlton","Gold Coast",82,108
"2017",33,"Round 4",2017-04-15,"Adelaide Oval","Adelaide","Essendon",153,88
"2017",34,"Round 4",2017-04-16,"Docklands Stadium","Collingwood","St Kilda",55,69
"2017",35,"Round 4",2017-04-16,"Gabba","Brisbane Lions","Richmond",67,119
"2017",36,"Round 4",2017-04-17,"MCG","Hawthorn","Geelong",48,134
"2017",37,"Round 5",2017-04-21,"Adelaide Oval","Port Adelaide","Carlton",137,47
"2017",38,"Round 5",2017-04-22,"Docklands Stadium","Western Bulldogs","Brisbane Lions",122,90
"2017",39,"Round 5",2017-04-22,"Carrara Stadium","Gold Coast","Adelaide",86,153
