"year","venue","location","team"
"2012","Stadium Australia","NSW","Greater Western Sydney"
"2012","Stadium Australia","NSW","Sydney"
"2012","MCG","VIC","Richmond"
"2012","MCG","VIC","Hawthorn"
"2012","MCG","VIC","Melbourne"
"2012","MCG","VIC","Collingwood"
"2012","MCG","VIC","Geelong"
"2012","MCG","VIC","Carlton"
"2012","MCG","VIC","St Kilda"
"2012","MCG","VIC","Essendon"
"2012","Carrara Stadium","QLD","Gold Coast"
"2012","Subiaco Oval","WA","Fremantle"
"2012","Subiaco Oval","WA","West Coast"
"2012","Docklands Stadium","VIC","North Melbourne"
"2012","Docklands Stadium","VIC","Western Bulldogs"
"2012","Docklands Stadium","VIC","Essendon"
"2012","Docklands Stadium","VIC","St Kilda"
"2012","Docklands Stadium","VIC","Collingwood"
"2012","Docklands Stadium","VIC","Richmond"
"2012","Docklands Stadium","VIC","Carlton"
"2012","Docklands Stadium","VIC","Melbourne"
"2012","Docklands Stadium","VIC","Geelong"
"2012","Football Park","SA","Port Adelaide"
"2012","Football Park","SA","Adelaide"
"2012","The Gabba","VIC","Brisbane Lions"
"2012","SCG","NSW","Sydney"
"2012","Bellerive Oval","TAS","North Melbourne"
"2012","Blacktown International Sportspark","NSW","Greater Western Sydney"
"2012","Kardinia Park","GEE","Geelong"
"2012","Manuka Oval","ACT","Greater Western Sydney"
"2012","York Park","TAS","Hawthorn"
"2012","Marrara Oval","NT","Western Bulldogs"
"2012","Marrara Oval","NT","Melbourne"
"2012","Sydney Showground Stadium","NSW","Greater Western Sydney"
"2012","Cazaly's Stadium","QLD","Richmond"
