"season","match_id","round","date","venue","home_team","away_team","home_score","away_score"
"2014",1,"Round 1",2014-03-25,"MCG","Richmond","Carlton",64,120
"2014",2,"Round 1",2014-03-26,"MCG","Geelong","Essendon",125,94
"2014",3,"Round 1",2014-03-27,"MCG","Melbourne","Hawthorn",61,117
"2014",4,"Round 1",2014-03-27,"Gabba","Brisbane Lions","West Coast",114,82
"2014",5,"Round 1",2014-03-27,"Stadium Australia","Sydney","St Kilda",88,96
"2014",6,"Round 1",2014-03-28,"Football Park","Port Adelaide","North Melbourne",96,82
"2014",7,"Round 1",2014-03-28,"Subiaco Oval","Fremantle","Adelaide",118,62
"2014",8,"Round 1",2014-03-28,"Docklands Stadium","Western Bulldogs","Collingwood",93,129
"2014",9,"Round 2",2014-04-01,"Gabba","Brisbane Lions","Carlton",107,88
"2014",10,"Round 2",2014-04-03,"MCG","Collingwood","Melbourne",86,85
"2014",11,"Round 2",2014-04-03,"Subiaco Oval","West Coast","Port Adelaide",86,89
"2014",12,"Round 2",2014-04-03,"Docklands Stadium","St Kilda","North Melbourne",143,39
"2014",13,"Round 2",2014-04-04,"Football Park","Adelaide","Sydney",75,118
"2014",14,"Round 2",2014-04-04,"MCG","Richmond","Western Bulldogs",48,120
"2014",15,"Round 2",2014-04-04,"Docklands Stadium","Essendon","Fremantle",69,113
"2014",16,"Round 2",2014-04-05,"MCG","Hawthorn","Geelong",91,100
"2014",17,"Round 3",2014-04-09,"Docklands Stadium","St Kilda","Collingwood",69,41
"2014",18,"Round 3",2014-04-10,"Docklands Stadium","North Melbourne","West Coast",116,91
"2014",19,"Round 3",2014-04-10,"Football Park","Port Adelaide","Brisbane Lions",81,108
"2014",20,"Round 3",2014-04-10,"SCG","Sydney","Richmond",111,56
"2014",21,"Round 3",2014-04-10,"MCG","Carlton","Essendon",75,95
"2014",22,"Round 3",2014-04-11,"MCG","Melbourne","Adelaide",57,41
"2014",23,"Round 3",2014-04-11,"Docklands Stadium","Western Bulldogs","Hawthorn",100,84
"2014",24,"Round 3",2014-04-11,"Subiaco Oval","Fremantle","Geelong",125,118
"2014",25,"Round 4",2014-04-16,"Subiaco Oval","West Coast","Essendon",101,78
"2014",26,"Round 4",2014-04-17,"Docklands Stadium","North Melbourne","Sydney",60,100
"2014",27,"Round 4",2014-04-17,"Football Park","Adelaide","Carlton",55,103
"2014",28,"Round 4",2014-04-17,"Gabba","Brisbane Lions","Western Bulldogs",101,79
"2014",29,"Round 4",2014-04-17,"MCG","Collingwood","Hawthorn",123,59
"2014",30,"Round 4",2014-04-18,"MCG","Richmond","Melbourne",78,133
"2014",31,"Round 4",2014-04-18,"Kardinia Park","Geelong","Port Adelaide",159,64
"2014",32,"Round 4",2014-04-18,"Docklands Stadium","St Kilda","Fremantle",108,93
"2014",33,"Round 5",2014-04-23,"Docklands Stadium","Western Bulldogs","Adelaide",121,72
"2014",34,"Round 5",2014-04-24,"SCG","Sydney","West Coast",115,63
"2014",35,"Round 5",2014-04-24,"MCG","Melbourne","Brisbane Lions",103,53
"2014",36,"Round 5",2014-04-24,"Football Park","Port Adelaide","St Kilda",54,44
"2014",37,"Round 5",2014-04-25,"MCG","Collingwood","Essendon",120,55
"2014",38,"Round 5",2014-04-25,"York Park","Hawthorn","North Melbourne",70,82
"2014",39,"Round 5",2014-04-25,"Subiaco Oval","Fremantle","Richmond",112,73
"2014",40,"Round 5",2014-04-26,"MCG","Carlton","Geelong",104,68
"2014",41,"Round 6",2014-04-30,"Docklands Stadium","Western Bulldogs","St Kilda",46,49
"2014",42,"Round 6",2014-05-01,"Docklands Stadium","North Melbourne","Melbourne",104,78
"2014",43,"Round 6",2014-05-01,"Football Park","Adelaide","Port Adelaide",74,97
"2014",44,"Round 6",2014-05-01,"SCG","Sydney","Brisbane Lions",107,87
"2014",45,"Round 6",2014-05-01,"MCG","Essendon","Hawthorn",106,63
"2014",46,"Round 6",2014-05-02,"Kardinia Park","Geelong","Richmond",161,53
"2014",47,"Round 6",2014-05-02,"MCG","Carlton","Collingwood",102,155
"2014",48,"Round 6",2014-05-02,"Subiaco Oval","West Coast","Fremantle",73,111
"2014",49,"Round 7",2014-05-07,"MCG","Melbourne","Western Bulldogs",66,70
"2014",50,"Round 7",2014-05-08,"Docklands Stadium","Essendon","Port Adelaide",106,109
"2014",51,"Round 7",2014-05-08,"Subiaco Oval","West Coast","Hawthorn",102,94
"2014",52,"Round 7",2014-05-08,"Gabba","Brisbane Lions","Fremantle",100,113
"2014",53,"Round 7",2014-05-08,"MCG","Collingwood","North Melbourne",157,91
"2014",54,"Round 7",2014-05-09,"Kardinia Park","Geelong","Sydney",126,59
