"season","match_id","round","date","venue","home_team","away_team","home_score","away_score"
"2019",1,"Round 1",2019-03-21,"MCG","Carlton","Richmond",NA,NA
"2019",2,"Round 1",2019-03-22,"MCG","Collingwood","Geelong",NA,NA
"2019",3,"Round 1",2019-03-23,"MCG","Melbourne","Port Adelaide",NA,NA
"2019",4,"Round 1",2019-03-23,"Adelaide Oval","Adelaide","Hawthorn",NA,NA
"2019",5,"Round 1",2019-03-23,"Gabba","Brisbane Lions","West Coast",NA,NA
"2019",6,"Round 1",2019-03-23,"Docklands Stadium","Western Bulldogs","Sydney",NA,NA
"2019",7,"Round 1",2019-03-24,"Docklands Stadium","St Kilda","Gold Coast",NA,NA
"2019",8,"Round 1",2019-03-24,"Sydney Showground Stadium","Greater Western Sydney","Essendon",NA,NA
"2019",9,"Round 1",2019-03-24,"Perth Stadium","Fremantle","North Melbourne",NA,NA
"2019",10,"Round 2",2019-03-28,"MCG","Richmond","Collingwood",NA,NA
"2019",11,"Round 2",2019-03-29,"SCG","Sydney","Adelaide",NA,NA
"2019",12,"Round 2",2019-03-30,"Docklands Stadium","Essendon","St Kilda",NA,NA
"2019",13,"Round 2",2019-03-30,"Adelaide Oval","Port Adelaide","Carlton",NA,NA
"2019",14,"Round 2",2019-03-30,"Perth Stadium","West Coast","Greater Western Sydney",NA,NA
"2019",15,"Round 2",2019-03-30,"Kardinia Park","Geelong","Melbourne",NA,NA
"2019",16,"Round 2",2019-03-31,"Docklands Stadium","North Melbourne","Brisbane Lions",NA,NA
"2019",17,"Round 2",2019-03-31,"MCG","Hawthorn","Western Bulldogs",NA,NA
"2019",18,"Round 2",2019-03-31,"Carrara Stadium","Gold Coast","Fremantle",NA,NA
"2019",19,"Round 3",2019-04-04,"Adelaide Oval","Adelaide","Geelong",NA,NA
"2019",20,"Round 3",2019-04-05,"MCG","Melbourne","Essendon",NA,NA
"2019",21,"Round 3",2019-04-06,"Docklands Stadium","Carlton","Sydney",NA,NA
"2019",22,"Round 3",2019-04-06,"Sydney Showground Stadium","Greater Western Sydney","Richmond",NA,NA
"2019",23,"Round 3",2019-04-06,"Gabba","Brisbane Lions","Port Adelaide",NA,NA
"2019",24,"Round 3",2019-04-06,"MCG","Collingwood","West Coast",NA,NA
"2019",25,"Round 3",2019-04-07,"Docklands Stadium","Western Bulldogs","Gold Coast",NA,NA
"2019",26,"Round 3",2019-04-07,"MCG","Hawthorn","North Melbourne",NA,NA
"2019",27,"Round 3",2019-04-07,"Perth Stadium","Fremantle","St Kilda",NA,NA
"2019",28,"Round 4",2019-04-11,"SCG","Sydney","Melbourne",NA,NA
"2019",29,"Round 4",2019-04-12,"MCG","Collingwood","Western Bulldogs",NA,NA
"2019",30,"Round 4",2019-04-13,"Kardinia Park","Geelong","Greater Western Sydney",NA,NA
"2019",31,"Round 4",2019-04-13,"MCG","Essendon","Brisbane Lions",NA,NA
"2019",32,"Round 4",2019-04-13,"Adelaide Oval","Port Adelaide","Richmond",NA,NA
"2019",33,"Round 4",2019-04-13,"Docklands Stadium","North Melbourne","Adelaide",NA,NA
"2019",34,"Round 4",2019-04-13,"Perth Stadium","West Coast","Fremantle",NA,NA
"2019",35,"Round 4",2019-04-14,"Carrara Stadium","Gold Coast","Carlton",NA,NA
"2019",36,"Round 4",2019-04-14,"Docklands Stadium","St Kilda","Hawthorn",NA,NA
"2019",37,"Round 5",2019-04-18,"Gabba","Brisbane Lions","Collingwood",NA,NA
"2019",38,"Round 5",2019-04-19,"Docklands Stadium","North Melbourne","Essendon",NA,NA
"2019",39,"Round 5",2019-04-19,"Perth Stadium","West Coast","Port Adelaide",NA,NA
"2019",40,"Round 5",2019-04-20,"Manuka Oval","Greater Western Sydney","Fremantle",NA,NA
"2019",41,"Round 5",2019-04-20,"MCG","Melbourne","St Kilda",NA,NA
"2019",42,"Round 5",2019-04-20,"Docklands Stadium","Richmond","Sydney",NA,NA
"2019",43,"Round 5",2019-04-21,"Docklands Stadium","Western Bulldogs","Carlton",NA,NA
"2019",44,"Round 5",2019-04-21,"Adelaide Oval","Adelaide","Gold Coast",NA,NA
"2019",45,"Round 5",2019-04-22,"MCG","Hawthorn","Geelong",NA,NA
"2019",46,"Round 6",2019-04-24,"MCG","Richmond","Melbourne",NA,NA
"2019",47,"Round 6",2019-04-25,"MCG","Essendon","Collingwood",NA,NA
"2019",48,"Round 6",2019-04-26,"Adelaide Oval","Port Adelaide","North Melbourne",NA,NA
"2019",49,"Round 6",2019-04-27,"Carrara Stadium","Gold Coast","Brisbane Lions",NA,NA
"2019",50,"Round 6",2019-04-27,"Docklands Stadium","St Kilda","Adelaide",NA,NA
"2019",51,"Round 6",2019-04-27,"SCG","Sydney","Greater Western Sydney",NA,NA
"2019",52,"Round 6",2019-04-27,"Perth Stadium","Fremantle","Western Bulldogs",NA,NA
"2019",53,"Round 6",2019-04-28,"York Park","Hawthorn","Carlton",NA,NA
"2019",54,"Round 6",2019-04-28,"Kardinia Park","Geelong","West Coast",NA,NA
"2019",55,"Round 7",2019-05-03,"Docklands Stadium","Collingwood","Port Adelaide",NA,NA
"2019",56,"Round 7",2019-05-04,"MCG","Melbourne","Hawthorn",NA,NA
"2019",57,"Round 7",2019-05-04,"Manuka Oval","Greater Western Sydney","St Kilda",NA,NA
"2019",58,"Round 7",2019-05-04,"Gabba","Brisbane Lions","Sydney",NA,NA
"2019",59,"Round 7",2019-05-04,"Docklands Stadium","Western Bulldogs","Richmond",NA,NA
"2019",60,"Round 7",2019-05-04,"Perth Stadium","West Coast","Gold Coast",NA,NA
"2019",61,"Round 7",2019-05-05,"Docklands Stadium","Carlton","North Melbourne",NA,NA
"2019",62,"Round 7",2019-05-05,"MCG","Geelong","Essendon",NA,NA
"2019",63,"Round 7",2019-05-05,"Adelaide Oval","Adelaide","Fremantle",NA,NA
"2019",64,"Round 8",2019-05-10,"SCG","Sydney","Essendon",NA,NA
"2019",65,"Round 8",2019-05-11,"Eureka Stadium","Western Bulldogs","Brisbane Lions",NA,NA
"2019",66,"Round 8",2019-05-11,"MCG","Carlton","Collingwood",NA,NA
"2019",67,"Round 8",2019-05-11,"Carrara Stadium","Gold Coast","Melbourne",NA,NA
"2019",68,"Round 8",2019-05-11,"Docklands Stadium","St Kilda","West Coast",NA,NA
"2019",69,"Round 8",2019-05-11,"Adelaide Oval","Port Adelaide","Adelaide",NA,NA
"2019",70,"Round 8",2019-05-12,"Docklands Stadium","North Melbourne","Geelong",NA,NA
"2019",71,"Round 8",2019-05-12,"MCG","Hawthorn","Greater Western Sydney",NA,NA
"2019",72,"Round 8",2019-05-12,"Perth Stadium","Fremantle","Richmond",NA,NA
"2019",73,"Round 9",2019-05-17,"Perth Stadium","West Coast","Melbourne",NA,NA
"2019",74,"Round 9",2019-05-18,"MCG","Collingwood","St Kilda",NA,NA
"2019",75,"Round 9",2019-05-18,"Gabba","Brisbane Lions","Adelaide",NA,NA
"2019",76,"Round 9",2019-05-18,"Kardinia Park","Geelong","Western Bulldogs",NA,NA
"2019",77,"Round 9",2019-05-18,"Docklands Stadium","Essendon","Fremantle",NA,NA
"2019",78,"Round 9",2019-05-18,"Bellerive Oval","North Melbourne","Sydney",NA,NA
"2019",79,"Round 9",2019-05-19,"Adelaide Oval","Port Adelaide","Gold Coast",NA,NA
"2019",80,"Round 9",2019-05-19,"MCG","Richmond","Hawthorn",NA,NA
"2019",81,"Round 9",2019-05-19,"Sydney Showground Stadium","Greater Western Sydney","Carlton",NA,NA
"2019",82,"Round 10",2019-05-24,"SCG","Sydney","Collingwood",NA,NA
"2019",83,"Round 10",2019-05-25,"York Park","Hawthorn","Port Adelaide",NA,NA
"2019",84,"Round 10",2019-05-25,"Docklands Stadium","Western Bulldogs","North Melbourne",NA,NA
"2019",85,"Round 10",2019-05-25,"Adelaide Oval","Adelaide","West Coast",NA,NA
"2019",86,"Round 10",2019-05-25,"Carrara Stadium","Gold Coast","Geelong",NA,NA
"2019",87,"Round 10",2019-05-25,"MCG","Richmond","Essendon",NA,NA
"2019",88,"Round 10",2019-05-26,"MCG","Melbourne","Greater Western Sydney",NA,NA
"2019",89,"Round 10",2019-05-26,"Docklands Stadium","St Kilda","Carlton",NA,NA
"2019",90,"Round 10",2019-05-26,"Perth Stadium","Fremantle","Brisbane Lions",NA,NA
"2019",91,"Round 11",2019-05-31,"Docklands Stadium","North Melbourne","Richmond",NA,NA
"2019",92,"Round 11",2019-06-01,"MCG","Collingwood","Fremantle",NA,NA
"2019",93,"Round 11",2019-06-01,"Sydney Showground Stadium","Greater Western Sydney","Gold Coast",NA,NA
"2019",94,"Round 11",2019-06-01,"Kardinia Park","Geelong","Sydney",NA,NA
"2019",95,"Round 11",2019-06-01,"Gabba","Brisbane Lions","Hawthorn",NA,NA
"2019",96,"Round 11",2019-06-01,"Marrara Oval","Melbourne","Adelaide",NA,NA
"2019",97,"Round 11",2019-06-02,"Jiangwan Stadium","St Kilda","Port Adelaide",NA,NA
"2019",98,"Round 11",2019-06-02,"MCG","Essendon","Carlton",NA,NA
"2019",99,"Round 11",2019-06-02,"Perth Stadium","West Coast","Western Bulldogs",NA,NA
"2019",100,"Round 12",2019-06-07,"MCG","Richmond","Geelong",NA,NA
"2019",101,"Round 12",2019-06-08,"Docklands Stadium","Carlton","Brisbane Lions",NA,NA
"2019",102,"Round 12",2019-06-08,"Carrara Stadium","Gold Coast","North Melbourne",NA,NA
"2019",103,"Round 12",2019-06-08,"Adelaide Oval","Adelaide","Greater Western Sydney",NA,NA
"2019",104,"Round 12",2019-06-09,"SCG","Sydney","West Coast",NA,NA
"2019",105,"Round 12",2019-06-10,"MCG","Collingwood","Melbourne",NA,NA
"2019",106,"Round 13",2019-06-13,"Adelaide Oval","Adelaide","Richmond",NA,NA
"2019",107,"Round 13",2019-06-14,"Docklands Stadium","Essendon","Hawthorn",NA,NA
"2019",108,"Round 13",2019-06-15,"Riverway Stadium","Gold Coast","St Kilda",NA,NA
"2019",109,"Round 13",2019-06-15,"Perth Stadium","Fremantle","Port Adelaide",NA,NA
"2019",110,"Round 13",2019-06-15,"Docklands Stadium","Carlton","Western Bulldogs",NA,NA
"2019",111,"Round 13",2019-06-16,"Bellerive Oval","North Melbourne","Greater Western Sydney",NA,NA
"2019",112,"Round 14",2019-06-20,"Perth Stadium","West Coast","Essendon",NA,NA
"2019",113,"Round 14",2019-06-21,"SCG","Sydney","Hawthorn",NA,NA
"2019",114,"Round 14",2019-06-22,"MCG","Melbourne","Fremantle",NA,NA
"2019",115,"Round 14",2019-06-22,"Docklands Stadium","St Kilda","Brisbane Lions",NA,NA
"2019",116,"Round 14",2019-06-22,"Adelaide Oval","Port Adelaide","Geelong",NA,NA
"2019",117,"Round 14",2019-06-23,"Docklands Stadium","Western Bulldogs","Collingwood",NA,NA
"2019",118,"Round 15",2019-06-27,"Docklands Stadium","Essendon","Greater Western Sydney",NA,NA
"2019",119,"Round 15",2019-06-28,"Kardinia Park","Geelong","Adelaide",NA,NA
"2019",120,"Round 15",2019-06-29,"MCG","Hawthorn","West Coast",NA,NA
"2019",121,"Round 15",2019-06-29,"SCG","Sydney","Gold Coast",NA,NA
"2019",122,"Round 15",2019-06-29,"Docklands Stadium","Collingwood","North Melbourne",NA,NA
"2019",123,"Round 15",2019-06-29,"Adelaide Oval","Port Adelaide","Western Bulldogs",NA,NA
"2019",124,"Round 15",2019-06-30,"Docklands Stadium","St Kilda","Richmond",NA,NA
"2019",125,"Round 15",2019-06-30,"Gabba","Brisbane Lions","Melbourne",NA,NA
"2019",126,"Round 15",2019-06-30,"Perth Stadium","Fremantle","Carlton",NA,NA
"2019",127,"Round 16",2019-07-05,"MCG","Hawthorn","Collingwood",NA,NA
"2019",128,"Round 16",2019-07-06,"MCG","Essendon","Sydney",NA,NA
"2019",129,"Round 16",2019-07-06,"Carrara Stadium","Gold Coast","Richmond",NA,NA
"2019",130,"Round 16",2019-07-06,"Adelaide Oval","Adelaide","Port Adelaide",NA,NA
"2019",131,"Round 16",2019-07-06,"Docklands Stadium","Western Bulldogs","Geelong",NA,NA
"2019",132,"Round 16",2019-07-06,"Perth Stadium","Fremantle","West Coast",NA,NA
"2019",133,"Round 16",2019-07-07,"MCG","Carlton","Melbourne",NA,NA
"2019",134,"Round 16",2019-07-07,"Bellerive Oval","North Melbourne","St Kilda",NA,NA
"2019",135,"Round 16",2019-07-07,"Sydney Showground Stadium","Greater Western Sydney","Brisbane Lions",NA,NA
"2019",136,"Round 17",2019-07-12,"Perth Stadium","West Coast","Collingwood",NA,NA
"2019",137,"Round 17",2019-07-13,"SCG","Sydney","Carlton",NA,NA
"2019",138,"Round 17",2019-07-13,"York Park","Hawthorn","Fremantle",NA,NA
"2019",139,"Round 17",2019-07-13,"Docklands Stadium","Essendon","North Melbourne",NA,NA
"2019",140,"Round 17",2019-07-13,"Carrara Stadium","Gold Coast","Adelaide",NA,NA
"2019",141,"Round 17",2019-07-13,"Kardinia Park","Geelong","St Kilda",NA,NA
"2019",142,"Round 17",2019-07-14,"MCG","Richmond","Greater Western Sydney",NA,NA
"2019",143,"Round 17",2019-07-14,"Docklands Stadium","Western Bulldogs","Melbourne",NA,NA
