year,venue,location,team
2023,MCG,VIC,Richmond
2023,MCG,VIC,Geelong
2023,MCG,VIC,Melbourne
2023,MCG,VIC,Hawthorn
2023,MCG,VIC,Carlton
2023,MCG,VIC,Collingwood
2023,MCG,VIC,St Kilda
2023,MCG,VIC,Essendon
2023,Docklands Stadium,VIC,North Melbourne
2023,Docklands Stadium,VIC,St Kilda
2023,Docklands Stadium,VIC,Western Bulldogs
2023,Docklands Stadium,VIC,Essendon
2023,Docklands Stadium,VIC,Carlton
2023,Docklands Stadium,VIC,Richmond
2023,Docklands Stadium,VIC,Collingwood
2023,Docklands Stadium,VIC,Hawthorn
2023,Adelaide Oval,SA,Port Adelaide
2023,Adelaide Oval,SA,Adelaide
2023,Adelaide Oval,SA,Richmond
2023,Adelaide Oval,SA,Essendon
2023,Adelaide Oval,SA,Geelong
2023,Adelaide Oval,SA,Collingwood
2023,Carrara Stadium,QLD,Gold Coast
2023,Sydney Showground Stadium,NSW,GWS
2023,Gabba,QLD,Brisbane
2023,Perth Stadium,WA,Fremantle
2023,Perth Stadium,WA,West Coast
2023,SCG,NSW,Sydney
2023,York Park,TAS,Hawthorn
2023,Norwood Oval,SA,Fremantle
2023,Norwood Oval,SA,GWS
2023,Adelaide Hills,SA,Brisbane
2023,Manuka Oval,ACT,GWS
2023,Kardinia Park,GEE,Geelong
2023,Bellerive Oval,TAS,North Melbourne
2023,Eureka Stadium,VIC,Western Bulldogs
2023,Marrara Oval,NT,Gold Coast
2023,Traeger Park,NT,Melbourne
