year,venue,location,team
2017,MCG,VIC,Carlton
2017,MCG,VIC,Collingwood
2017,MCG,VIC,Essendon
2017,MCG,VIC,Richmond
2017,MCG,VIC,Hawthorn
2017,MCG,VIC,Melbourne
2017,MCG,VIC,Geelong
2017,SCG,NSW,Sydney
2017,Docklands Stadium,VIC,St Kilda
2017,Docklands Stadium,VIC,North Melbourne
2017,Docklands Stadium,VIC,Western Bulldogs
2017,Docklands Stadium,VIC,Geelong
2017,Docklands Stadium,VIC,Carlton
2017,Docklands Stadium,VIC,Collingwood
2017,Docklands Stadium,VIC,Essendon
2017,Docklands Stadium,VIC,Richmond
2017,Docklands Stadium,VIC,Hawthorn
2017,Carrara Stadium,QLD,Gold Coast
2017,Adelaide Oval,SA,Adelaide
2017,Adelaide Oval,SA,Port Adelaide
2017,Subiaco Oval,WA,Fremantle
2017,Subiaco Oval,WA,West Coast
2017,Sydney Showground Stadium,NSW,Greater Western Sydney
2017,Gabba,QLD,Brisbane Lions
2017,Bellerive Oval,TAS,North Melbourne
2017,Manuka Oval,ACT,Greater Western Sydney
2017,York Park,TAS,Hawthorn
2017,Jiangwan Stadium,Other,Gold Coast
2017,Kardinia Park,GEE,Geelong
2017,Traeger Park,NT,Melbourne
2017,Marrara Oval,NT,Melbourne
2017,Cazaly's Stadium,QLD,Western Bulldogs
2017,Eureka Stadium,VIC,Western Bulldogs
