venue,location,season,team,total_flag,current_flag
Adelaide Oval,SA,2021,Adelaide,1,1
Adelaide Oval,SA,2021,Port Adelaide,1,1
Adelaide Oval,SA,2022,Adelaide,1,1
Adelaide Oval,SA,2022,Port Adelaide,1,1
Adelaide Oval,SA,2023,Port Adelaide,1,1
Adelaide Oval,SA,2023,Adelaide,1,1
Adelaide Oval,SA,2023,Richmond,0,0
Adelaide Oval,SA,2023,Essendon,0,0
Adelaide Oval,SA,2023,Geelong,0,0
Adelaide Oval,SA,2023,Collingwood,0,0
Adelaide Oval,SA,2024,Port Adelaide,1,1
Adelaide Oval,SA,2024,Adelaide,1,1
Adelaide Oval,SA,2024,Fremantle,0,0
Adelaide Oval,SA,2024,Western Bulldogs,0,0
Adelaide Oval,SA,2024,Collingwood,0,1
Bellerive Oval,TAS,2012,North Melbourne,1,0
Bellerive Oval,TAS,2013,North Melbourne,1,1
Bellerive Oval,TAS,2014,North Melbourne,1,1
Bellerive Oval,TAS,2015,North Melbourne,1,1
Bellerive Oval,TAS,2016,North Melbourne,1,1
Bellerive Oval,TAS,2017,North Melbourne,1,1
Bellerive Oval,TAS,2018,North Melbourne,1,1
Bellerive Oval,TAS,2019,North Melbourne,1,1
Bellerive Oval,TAS,2021,North Melbourne,1,0
Bellerive Oval,TAS,2021,St Kilda,0,0
Bellerive Oval,TAS,2022,North Melbourne,1,1
Bellerive Oval,TAS,2023,North Melbourne,1,1
Bellerive Oval,TAS,2024,North Melbourne,1,1
Blacktown International Sportspark,NSW,2012,GWS,0,0
Sydney Showground Stadium,NSW,2012,GWS,1,0
Sydney Showground Stadium,NSW,2013,GWS,1,1
Sydney Showground Stadium,NSW,2014,GWS,1,1
Sydney Showground Stadium,NSW,2015,GWS,1,1
Sydney Showground Stadium,NSW,2016,GWS,1,1
Sydney Showground Stadium,NSW,2017,GWS,1,1
Sydney Showground Stadium,NSW,2018,GWS,1,1
Sydney Showground Stadium,NSW,2019,GWS,1,1
Sydney Showground Stadium,NSW,2020,GWS,1,1
Sydney Showground Stadium,NSW,2020,Collingwood,0,0
Sydney Showground Stadium,NSW,2020,Melbourne,0,0
Sydney Showground Stadium,NSW,2020,Hawthorn,0,0
Sydney Showground Stadium,NSW,2021,GWS,1,1
Sydney Showground Stadium,NSW,2021,Richmond,0,0
Sydney Showground Stadium,NSW,2021,Melbourne,0,1
Sydney Showground Stadium,NSW,2022,GWS,1,1
Sydney Showground Stadium,NSW,2023,GWS,1,1
Sydney Showground Stadium,NSW,2024,GWS,1,1
Wellington Regional Stadium,Other,2013,St Kilda,0,0
Wellington Regional Stadium,Other,2014,St Kilda,0,1
Wellington Regional Stadium,Other,2015,St Kilda,0,1
Traeger Park,NT,2014,Melbourne,1,0
Traeger Park,NT,2015,Melbourne,1,1
Traeger Park,NT,2016,Melbourne,1,1
Traeger Park,NT,2017,Melbourne,1,1
Traeger Park,NT,2018,Melbourne,1,1
Traeger Park,NT,2019,Melbourne,1,1
Traeger Park,NT,2020,Melbourne,1,1
Traeger Park,NT,2022,Melbourne,1,0
Traeger Park,NT,2023,Melbourne,1,1
Traeger Park,NT,2024,Melbourne,1,1
Jiangwan Stadium,Other,2017,Gold Coast,0,0
Jiangwan Stadium,Other,2018,Gold Coast,0,1
Jiangwan Stadium,Other,2019,St Kilda,0,0
Eureka Stadium,VIC,2017,Western Bulldogs,1,0
Eureka Stadium,VIC,2018,Western Bulldogs,1,1
Eureka Stadium,VIC,2019,Western Bulldogs,1,1
Eureka Stadium,VIC,2021,Western Bulldogs,1,0
Eureka Stadium,VIC,2021,GWS,0,0
Eureka Stadium,VIC,2022,Western Bulldogs,1,1
Eureka Stadium,VIC,2023,Western Bulldogs,1,1
Eureka Stadium,VIC,2024,Western Bulldogs,1,1
Perth Stadium,WA,2018,West Coast,1,0
Perth Stadium,WA,2018,Fremantle,1,0
Perth Stadium,WA,2018,Gold Coast,0,0
Perth Stadium,WA,2019,Fremantle,1,1
Perth Stadium,WA,2019,West Coast,1,1
Perth Stadium,WA,2020,West Coast,1,1
Perth Stadium,WA,2020,Geelong,0,0
Perth Stadium,WA,2020,Fremantle,1,1
Perth Stadium,WA,2020,Carlton,0,0
Perth Stadium,WA,2020,Sydney,0,0
Perth Stadium,WA,2021,West Coast,1,1
Perth Stadium,WA,2021,Fremantle,1,1
Perth Stadium,WA,2021,Essendon,0,0
Perth Stadium,WA,2022,West Coast,1,1
Perth Stadium,WA,2022,Fremantle,1,1
Perth Stadium,WA,2023,Fremantle,1,1
Perth Stadium,WA,2023,West Coast,1,1
Perth Stadium,WA,2024,Fremantle,1,1
Perth Stadium,WA,2024,West Coast,1,1
Riverway Stadium,QLD,2019,Gold Coast,0,0
Norwood Oval,SA,2023,Fremantle,0,0
Norwood Oval,SA,2023,GWS,0,0
Norwood Oval,SA,2024,Brisbane,0,0
Norwood Oval,SA,2024,Richmond,0,0
Adelaide Hills,SA,2023,Brisbane,0,0
Adelaide Hills,SA,2024,West Coast,0,0
Adelaide Hills,SA,2024,Gold Coast,0,0
