year,venue,location,team
2021,MCG,VIC,Richmond
2021,MCG,VIC,Collingwood
2021,MCG,VIC,Melbourne
2021,MCG,VIC,Carlton
2021,MCG,VIC,Hawthorn
2021,MCG,VIC,Geelong
2021,MCG,VIC,Essendon
2021,MCG,VIC,Greater Western Sydney
2021,MCG,VIC,Fremantle
2021,Adelaide Oval,SA,Adelaide
2021,Adelaide Oval,SA,Port Adelaide
2021,Gabba,QLD,Brisbane Lions
2021,Docklands Stadium,VIC,Essendon
2021,Docklands Stadium,VIC,North Melbourne
2021,Docklands Stadium,VIC,St Kilda
2021,Docklands Stadium,VIC,Western Bulldogs
2021,Docklands Stadium,VIC,Collingwood
2021,Docklands Stadium,VIC,Carlton
2021,Docklands Stadium,VIC,Richmond
2021,Docklands Stadium,VIC,Gold Coast
2021,Docklands Stadium,VIC,Hawthorn
2021,Docklands Stadium,VIC,Port Adelaide
2021,Docklands Stadium,VIC,Adelaide
2021,Docklands Stadium,VIC,Greater Western Sydney
2021,Docklands Stadium,VIC,Sydney
2021,Perth Stadium,WA,West Coast
2021,Perth Stadium,WA,Fremantle
2021,Perth Stadium,WA,Essendon
2021,Sydney Showground Stadium,NSW,Greater Western Sydney
2021,Sydney Showground Stadium,NSW,Richmond
2021,Sydney Showground Stadium,NSW,Melbourne
2021,Kardinia Park,GEE,Geelong
2021,Kardinia Park,GEE,Sydney
2021,Kardinia Park,GEE,Gold Coast
2021,SCG,NSW,Sydney
2021,SCG,NSW,Gold Coast
2021,SCG,NSW,Carlton
2021,SCG,NSW,Melbourne
2021,Carrara Stadium,QLD,Gold Coast
2021,Carrara Stadium,QLD,Brisbane Lions
2021,Carrara Stadium,QLD,Richmond
2021,Carrara Stadium,QLD,North Melbourne
2021,Carrara Stadium,QLD,Greater Western Sydney
2021,Carrara Stadium,QLD,Sydney
2021,Carrara Stadium,QLD,Essendon
2021,Manuka Oval,ACT,Greater Western Sydney
2021,Eureka Stadium,VIC,Western Bulldogs
2021,Eureka Stadium,VIC,Greater Western Sydney
2021,York Park,TAS,Hawthorn
2021,Bellerive Oval,TAS,North Melbourne
2021,Bellerive Oval,TAS,St Kilda
2021,Cazaly's Stadium,QLD,St Kilda
